player_name,role,credits,projected_points,is_playing
Ross Adair,BAT,9.5,56.2,1
Andries Gous,WK,8.0,36.1,1
Gareth Delany,AR,9.0,70.9,0
Brandon McMullen,BOWL,7.5,49.6,1
Laurie Evans,BAT,8.5,52.0,1
JJ Smuts,AR,9.5,48.6,1
Tom Curran,AR,8.0,55.5,1
Mitchell Santner,BOWL,8.5,38.9,1
Andrew Tye,BAT,8.0,59.4,1
Trent Boult,AR,7.5,65.1,1
Safyaan Sharif,AR,8.5,67.0,1
Mark Watt,BOWL,9.5,45.2,1
Finlay McCreath,BAT,7.5,63.2,1
Sean Solia,AR,8.0,67.0,1
Jack Jarvis,AR,8.5,58.6,1
Rushil Ugarkar,BOWL,8.5,46.7,1
Ollie Jones,BAT,9.0,43.5,1
Max O'Dowd,AR,9.5,56.4,1
Yuvraj Samra,AR,9.0,40.2,1
Bas de Leede,BOWL,8.0,56.7,1
Curtis Campher,BAT,7.5,44.9,1
Tim David,AR,7.5,58.2,1
Scott Edwards,WK,8.5,67.5,1
Michael Bracewell,BOWL,9.5,51.6,1
Tim Pringle,BAT,8.0,46.3,1
Kyle Klein,AR,9.0,66.7,1
David Payne,AR,8.5,66.2,1
Richard Gleeson,BOWL,7.5,53.0,1
Aryan Dutt,BAT,9.0,55.8,1
Ali Hasan,AR,9.0,51.8,1
Jordan Neill,AR,9.0,49.5,1
David Rushmere,BOWL,8.0,46.0,1
Steven Smith,BAT,8.5,41.3,1
Ajinkya Rahane,AR,8.5,37.7,1
