player_name,role,credits,projected,ceiling_ev,differential,ownership,match_target,projected_points,differential_bonus,is_playing,Multiplier_Tag
Phannita Maya,WK,9.0,55.0,76.0,5.0,11.0,THA W vs HK W,55.0,0.0,1,Base
Aphisara Suwanchonrathi,BAT,9.5,63.0,86.0,7.0,9.0,THA W vs HK W,63.0,0.0,1,Base
Nannapat Koncharoenkai,BAT,8.5,47.0,65.0,4.0,18.0,THA W vs HK W,47.0,0.0,1,Base
Naruemol Chaiwai,AR,9.0,80.0,105.0,8.0,8.0,THA W vs HK W,80.0,0.0,1,Captain (2x)
Chanida Sutthiruang,AR,8.5,71.0,93.0,6.0,13.5,THA W vs HK W,71.0,0.0,1,Vice-Captain (1.5x)
Nannaphat Chaihan,AR,8.0,53.0,73.0,5.0,23.0,THA W vs HK W,53.0,0.0,1,Base
Natasha Miles,BOWL,9.0,59.0,80.0,5.0,11.5,THA W vs HK W,59.0,0.0,1,Base
Mariko Hill,BOWL,8.5,56.0,74.0,4.0,13.0,THA W vs HK W,56.0,0.0,1,Base
Yasmin Daswani,BOWL,8.0,48.0,65.0,4.0,24.0,THA W vs HK W,48.0,0.0,1,Base
Maryam Bibi,BOWL,8.0,46.0,61.0,3.0,15.5,THA W vs HK W,46.0,0.0,1,Base
Kary Chan,BOWL,7.5,43.0,57.0,3.0,18.5,THA W vs HK W,43.0,0.0,1,Base
