player_name,role,credits,projected_points,is_playing,projected,ceiling_ev,differential_bonus,Multiplier_Tag
Gareth Delany,AR,9.0,70.9,1,70.9,81.535,0.0,Captain (2x)
Andrew Tye,BAT,8.0,59.4,1,59.4,68.30999999999999,0.0,Base
Trent Boult,AR,7.5,65.1,1,65.1,74.86499999999998,0.0,Base
Safyaan Sharif,AR,8.5,67.0,1,67.0,77.05,0.0,Base
Finlay McCreath,BAT,7.5,63.2,1,63.2,72.67999999999999,0.0,Base
Sean Solia,AR,8.0,67.0,1,67.0,77.05,0.0,Vice-Captain (1.5x)
Jack Jarvis,AR,8.5,58.6,1,58.6,67.39,0.0,Base
Bas de Leede,BOWL,8.0,56.7,1,56.7,65.205,0.0,Base
Scott Edwards,WK,8.5,67.5,1,67.5,77.625,0.0,Base
Kyle Klein,AR,9.0,66.7,1,66.7,76.705,0.0,Base
David Payne,AR,8.5,66.2,1,66.2,76.13,0.0,Base
