Multiplier,name,team,role,credits,Final_EV
C,E Bhadana,SDS-W,bowl,7.5,116.06317489658684
VC,G Baghel,SDS-W,bowl,7.5,87.04738117244014
,C Yadav,CDQ,bowl,7.0,54.396804427987895
,N Mahto,CDQ,bowl,7.0,54.396804427987895
,P Halder,CDQ,bowl,7.0,54.396804427987895
,R Vishwa,SDS-W,ar,8.0,52.37333354770797
,N Parmar,CDQ,ar,8.0,51.51074367312374
,S Sehrawat,SDS-W,bat,8.0,19.28209979170207
,Priyadarshini,CDQ,wk,8.0,18.131968511773692
,N Bhist,CDQ,bat,8.0,18.131968511773692
,M Khatri,CDQ,bat,7.5,17.37367974167635
