player_id,name,team,role,credits,form_pts,projected_points,Multiplier,Final_EV
15,N Khan,NDS-W,ar,7.5,185,48.2,C,96.4
5,P Siwach,EDR-W,ar,7.5,182,48.1,VC,72.15
14,A Soni,NDS-W,ar,7.5,41,45.2,,45.2
6,M Chauhan,EDR-W,ar,7.5,14,44.6,,44.6
16,S Raghav,NDS-W,ar,7.0,16,41.9,,41.9
9,P Sisodia,EDR-W,bowl,8.0,55,41.1,,41.1
7,B Rawal,EDR-W,ar,6.5,96,40.6,,40.6
17,S Sharma,NDS-W,ar,6.0,258,40.4,,40.4
20,P Mishra,NDS-W,bowl,7.5,101,39.5,,39.5
12,R Shokeen,NDS-W,wk,7.5,38,26.2,,26.2
13,U Yadav,NDS-W,bat,7.0,90,25.2,,25.2
