player_id,name,team,role,credits,form_pts,projected_points,Multiplier,Final_EV
9,K Deeban Lingesh,LKK,ar,7.5,285,52.1,C,104.2
11,R Ambrish,LKK,bowl,8.5,248,51.5,VC,77.25
10,M Siddharth,LKK,bowl,7.5,336,47.4,,47.4
6,G Kishoor,LKK,ar,6.5,237,44.7,,44.7
1,S Radhakrishnan,LKK,ar,6.5,193,43.9,,43.9
16,S Mohamed Ali,ITT,ar,7.0,101,42.2,,42.2
22,T Natarajan,ITT,bowl,8.0,176,41.5,,41.5
5,S Khan,LKK,bat,8.5,320,33.6,,33.6
13,T Raheja,ITT,wk,7.5,454,32.7,,32.7
3,B Sachin,LKK,bat,8.0,356,32.0,,32.0
17,U Sasidev,ITT,bat,7.0,60,25.6,,25.6
