Multiplier,name,team,role,credits,Final_EV
C,G Phillips,Guyana Amazon Warriors,ar,8.5,105.52078912896894
VC,R Shepherd,Guyana Amazon Warriors,ar,8.5,79.1405918467267
,I Tahir,Guyana Amazon Warriors,bowl,8.5,50.89827885341786
,S Moqim,Antigua & Barbuda Falcons,bowl,8.5,50.89827885341786
,M Ali,Antigua & Barbuda Falcons,ar,8.5,48.75976434454944
,S Khan,Antigua & Barbuda Falcons,ar,8.5,48.75976434454944
,I Thorne,Guyana Amazon Warriors,bowl,8.0,48.13591193868098
,D Pretorius,Guyana Amazon Warriors,bowl,8.0,48.13591193868098
,A Phillip,Antigua & Barbuda Falcons,bowl,7.5,45.38584451588893
,S Joseph,Guyana Amazon Warriors,bowl,7.0,42.64929864768611
,V Permaul,Guyana Amazon Warriors,bowl,7.0,42.64929864768611
