player_id,name,team,role,credits,form_pts,status,projected_points,Multiplier,Final_EV
12,Mitchell Marsh,ADF,ar,9.0,410,Playing,56.2,C,112.4
4,Logan van Beek,RTD,ar,8.5,310,Playing,51.1,VC,76.65
16,Bas de Leede,ADF,ar,8.0,280,Playing,47.7,,47.7
9,David Wiese,RTD,ar,8.0,260,Playing,47.3,,47.3
11,Roelof van der Merwe,RTD,ar,7.5,245,Playing,44.3,,44.3
5,Anrich Nortje,RTD,bowl,8.5,350,Playing,44.2,,44.2
22,Michael Bracewell,ADF,ar,7.5,235,Playing,44.1,,44.1
8,Sandeep Lamichhane,RTD,bowl,8.0,320,Playing,41.3,,41.3
18,Richard Gleeson,ADF,bowl,8.0,305,Playing,41.0,,41.0
2,Heinrich Klaasen,RTD,wk,9.0,380,Playing,32.7,,32.7
13,Steve Smith,ADF,bat,9.0,360,Playing,32.4,,32.4
