Lineup_ID,Players,Captain,Vice_Captain,Total_Credits,Projected_Points
Lvl_1_Team_1,"Roston Chase, Tim Seifert, Charith Asalanka, Matthew Forde, Maheesh Theekshana, Noor Ahmad, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Imran Tahir",Shai Hope,Shimron Hetmyer,98.0,1173.9
Lvl_1_Team_2,"Roston Chase, Tim Seifert, Charith Asalanka, Matthew Forde, Noor Ahmad, Ackeem Auguste, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Shamar Joseph",Tim Seifert,Shimron Hetmyer,97.0,1155.1
Lvl_1_Team_3,"Roston Chase, Charith Asalanka, Maheesh Theekshana, Noor Ahmad, Ackeem Auguste, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Dwaine Pretorius, Imran Tahir",Shimron Hetmyer,Shai Hope,97.0,1160.3
Lvl_2_Team_1,"Roston Chase, Tim Seifert, Charith Asalanka, Matthew Forde, Maheesh Theekshana, Noor Ahmad, Ackeem Auguste, Shai Hope, Shimron Hetmyer, Romario Shepherd, Matthew Nandu",Shimron Hetmyer,Roston Chase,96.5,1158.2
Lvl_2_Team_2,"Roston Chase, Tim Seifert, Charith Asalanka, Matthew Forde, Maheesh Theekshana, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Shamar Joseph, Matthew Nandu",Shai Hope,Romario Shepherd,97.5,1151.6
Lvl_2_Team_3,"Roston Chase, Tim Seifert, Charith Asalanka, Maheesh Theekshana, Ackeem Auguste, Shadley van Schalkwyk, Shai Hope, Shimron Hetmyer, Romario Shepherd, Dwaine Pretorius, Shamar Joseph",Charith Asalanka,Shai Hope,96.5,1132.2
Lvl_3_Team_1,"Tim Seifert, Charith Asalanka, Matthew Forde, Noor Ahmad, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Dwaine Pretorius, Imran Tahir, Shamar Joseph",Charith Asalanka,Shimron Hetmyer,97.0,1153.2
Lvl_3_Team_2,"Roston Chase, Tim Seifert, Matthew Forde, Maheesh Theekshana, Noor Ahmad, Shai Hope, Shimron Hetmyer, Mohammad Nabi, Dwaine Pretorius, Imran Tahir, Shamar Joseph",Shai Hope,Noor Ahmad,97.5,1138.4
Lvl_3_Team_3,"Tim Seifert, Charith Asalanka, Maheesh Theekshana, Ackeem Auguste, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Dwaine Pretorius, Imran Tahir, Shamar Joseph, Quentin Sampson",Shimron Hetmyer,Mohammad Nabi,95.5,1124.8
Lvl_4_Team_1,"Roston Chase, Tim Seifert, Charith Asalanka, Noor Ahmad, Ackeem Auguste, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Imran Tahir, Shamar Joseph, Matthew Nandu",Mohammad Nabi,Tim Seifert,95.5,1115.3
Lvl_4_Team_2,"Tim Seifert, Charith Asalanka, Noor Ahmad, Shadley van Schalkwyk, Joshua Bishop, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Imran Tahir, Shamar Joseph",Shimron Hetmyer,Charith Asalanka,95.5,1125.2
Lvl_4_Team_3,"Roston Chase, Tim Seifert, Charith Asalanka, Matthew Forde, Maheesh Theekshana, Noor Ahmad, Joshua Bishop, Shai Hope, Romario Shepherd, Imran Tahir, Khary Pierre",Tim Seifert,Noor Ahmad,95.0,1099.3
Lvl_5_Team_1,"Tim Seifert, Charith Asalanka, Matthew Forde, Maheesh Theekshana, Noor Ahmad, Johann Jeremiah, Shai Hope, Shimron Hetmyer, Romario Shepherd, Dwaine Pretorius, Khary Pierre",Noor Ahmad,Matthew Forde,95.5,1114.7
Lvl_5_Team_2,"Tim Seifert, Shadley van Schalkwyk, Shai Hope, Shimron Hetmyer, Romario Shepherd, Dwaine Pretorius, Shamar Joseph, Khary Pierre, Matthew Nandu, Quentin Sampson, Ronaldo Alimohamed",Shai Hope,Tim Seifert,93.5,1064.8
Lvl_5_Team_3,"Roston Chase, Tim Seifert, Charith Asalanka, Matthew Forde, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Imran Tahir, Khary Pierre, Matthew Nandu",Charith Asalanka,Tim Seifert,96.5,1137.4
