Lineup_ID,Players,Captain,Vice_Captain,Backup_1,Backup_2,Backup_3,Backup_4,Total_Credits,Projected_Points
CPL_Lvl_1_Team_1,"Roston Chase, Tim Seifert, Charith Asalanka, Matthew Forde, Maheesh Theekshana, Noor Ahmad, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Imran Tahir",Shai Hope,Shimron Hetmyer,Dwaine Pretorius,Ackeem Auguste,Khary Pierre,Shadley van Schalkwyk,98.0,1173.9
CPL_Lvl_1_Team_2,"Roston Chase, Tim Seifert, Charith Asalanka, Matthew Forde, Noor Ahmad, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Dwaine Pretorius, Khary Pierre",Charith Asalanka,Shimron Hetmyer,Dwaine Pretorius,Ackeem Auguste,Khary Pierre,Shadley van Schalkwyk,97.0,1156.2
CPL_Lvl_1_Team_3,"Roston Chase, Tim Seifert, Charith Asalanka, Matthew Forde, Maheesh Theekshana, Shai Hope, Shimron Hetmyer, Romario Shepherd, Dwaine Pretorius, Imran Tahir, Shamar Joseph",Tim Seifert,Shimron Hetmyer,Dwaine Pretorius,Ackeem Auguste,Khary Pierre,Shadley van Schalkwyk,97.5,1160.9
CPL_Lvl_2_Team_1,"Roston Chase, Tim Seifert, Charith Asalanka, Maheesh Theekshana, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Dwaine Pretorius, Shamar Joseph, Quentin Sampson",Shimron Hetmyer,Roston Chase,Dwaine Pretorius,Ackeem Auguste,Khary Pierre,Shadley van Schalkwyk,97.5,1154.1
CPL_Lvl_2_Team_2,"Roston Chase, Tim Seifert, Charith Asalanka, Maheesh Theekshana, Noor Ahmad, Ackeem Auguste, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Dwaine Pretorius",Romario Shepherd,Maheesh Theekshana,Dwaine Pretorius,Ackeem Auguste,Khary Pierre,Shadley van Schalkwyk,97.5,1150.9
CPL_Lvl_2_Team_3,"Roston Chase, Tim Seifert, Charith Asalanka, Maheesh Theekshana, Shadley van Schalkwyk, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Imran Tahir, Matthew Nandu",Shai Hope,Romario Shepherd,Dwaine Pretorius,Ackeem Auguste,Khary Pierre,Shadley van Schalkwyk,97.0,1139.6
CPL_Lvl_3_Team_1,"Charith Asalanka, Matthew Forde, Ackeem Auguste, Shadley van Schalkwyk, Shai Hope, Shimron Hetmyer, Romario Shepherd, Imran Tahir, Shamar Joseph, Khary Pierre, Matthew Nandu",Shai Hope,Shimron Hetmyer,Dwaine Pretorius,Ackeem Auguste,Khary Pierre,Shadley van Schalkwyk,94.0,1103.0
CPL_Lvl_3_Team_2,"Roston Chase, Tim Seifert, Charith Asalanka, Maheesh Theekshana, Noor Ahmad, Shai Hope, Shimron Hetmyer, Romario Shepherd, Dwaine Pretorius, Imran Tahir, Quentin Sampson",Noor Ahmad,Shai Hope,Dwaine Pretorius,Ackeem Auguste,Khary Pierre,Shadley van Schalkwyk,97.0,1133.7
CPL_Lvl_3_Team_3,"Roston Chase, Charith Asalanka, Maheesh Theekshana, Johann Jeremiah, Shai Hope, Shimron Hetmyer, Romario Shepherd, Mohammad Nabi, Imran Tahir, Shamar Joseph, Khary Pierre",Charith Asalanka,Shimron Hetmyer,Dwaine Pretorius,Ackeem Auguste,Khary Pierre,Shadley van Schalkwyk,96.0,1125.2
CPL_Lvl_4_Team_1,"Tim Seifert, Charith Asalanka, Noor Ahmad, Ackeem Auguste, Johann Jeremiah, Shai Hope, Shimron Hetmyer, Dwaine Pretorius, Imran Tahir, Shamar Joseph, Khary Pierre",Shai Hope,Shimron Hetmyer,Dwaine Pretorius,Ackeem Auguste,Khary Pierre,Shadley van Schalkwyk,94.0,1108.1
