Lineup_ID,Players,Captain,Vice_Captain,Total_Credits,Projected_Points
NDS_vs_SDS_Lvl_1_Team_1,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Pranav Rajvanshi, Mayank Dagar, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Pranshu Vijayran, Vision Panchal, Anshuman Hooda",Ayush Badoni,Sarthak Ranjan,96.5,983.8
NDS_vs_SDS_Lvl_1_Team_2,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Mayank Dagar, Arjun Rapria, Harshit Rana, Sanat Sangwan, Ayush Badoni, Tejasvi Dahiya, Vision Panchal, Anshuman Hooda",Sarthak Ranjan,Ayush Badoni,95.5,977.7
NDS_vs_SDS_Lvl_1_Team_3,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Mayank Dagar, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Vision Panchal, Sumit Mathur, Anshuman Hooda, Sumit Kumar Beniwal",Vaibhav Kandpal,Ayush Badoni,95.0,957.6
NDS_vs_SDS_Lvl_2_Team_1,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Yash Dabas, Pranav Rajvanshi, Mayank Dagar, Harshit Rana, Anmol Sharma, Ayush Badoni, Tejasvi Dahiya, Vision Panchal",Sarthak Ranjan,Vaibhav Kandpal,95.5,963.0
NDS_vs_SDS_Lvl_2_Team_2,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Bharat Sindhwani, Mayank Dagar, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Vision Panchal, Anshuman Hooda, Yamit Sehrawat",Ayush Badoni,Sarthak Ranjan,95.0,967.0
NDS_vs_SDS_Lvl_2_Team_3,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Mayank Dagar, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Pranshu Vijayran, Vision Panchal, Sumit Mathur, Yamit Sehrawat",Mayank Dagar,Sarthak Ranjan,95.5,947.8
NDS_vs_SDS_Lvl_3_Team_1,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Pranav Rajvanshi, Mayank Dagar, Harshit Rana, Anmol Sharma, Ayush Badoni, Tejasvi Dahiya, Pranshu Vijayran, Yamit Sehrawat",Ayush Badoni,Sarthak Ranjan,95.0,959.3
NDS_vs_SDS_Lvl_3_Team_2,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Mayank Dagar, Arjun Rapria, Harshit Rana, Anmol Sharma, Ayush Badoni, Tejasvi Dahiya, Pranshu Vijayran, Anshuman Hooda",Vaibhav Kandpal,Ayush Badoni,95.0,952.3
NDS_vs_SDS_Lvl_3_Team_3,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Mayank Dagar, Arjun Rapria, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Pranshu Vijayran, Sumit Kumar Beniwal, Yamit Sehrawat",Sarthak Ranjan,Ayush Badoni,94.5,954.3
NDS_vs_SDS_Lvl_4_Team_1,"Sarthak Ranjan, Vaibhav Kandpal, Yash Dabas, Pranav Rajvanshi, Mayank Dagar, Arjun Rapria, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Vision Panchal, Anshuman Hooda",Sarthak Ranjan,Ayush Badoni,95.5,959.8
NDS_vs_SDS_Lvl_4_Team_2,"Sarthak Ranjan, Vaibhav Kandpal, Pranav Rajvanshi, Mayank Dagar, Arjun Rapria, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Karan Garg, Vision Panchal, Sagar Tanwar",Vaibhav Kandpal,Sarthak Ranjan,95.0,930.8
NDS_vs_SDS_Lvl_4_Team_3,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Mayank Dagar, Harshit Rana, Sanat Sangwan, Ayush Badoni, Tejasvi Dahiya, Sumit Kumar, Yamit Sehrawat, Ankur Kaushik",Harshit Rana,Ayush Badoni,94.0,921.3
NDS_vs_SDS_Lvl_5_Team_1,"Sarthak Ranjan, Yash Bhatia, Yash Dabas, Mayank Dagar, Harshit Rana, Sanat Sangwan, Ayush Badoni, Tejasvi Dahiya, Deepanshu Gulia, Yamit Sehrawat, Ekansh Dobal",Harshit Rana,Ayush Badoni,92.0,887.3
NDS_vs_SDS_Lvl_5_Team_2,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Bharat Sindhwani, Mayank Dagar, Ajay Yadav, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Anshuman Hooda, Pranav Pant",Ayush Badoni,Sarthak Ranjan,94.0,948.3
NDS_vs_SDS_Lvl_5_Team_3,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Yash Dabas, Pranav Rajvanshi, Mayank Dagar, Ajay Yadav, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Pranshu Vijayran",Vaibhav Kandpal,Ayush Badoni,96.0,945.1
