Lineup_ID,Match_Script,Players,Captain,Vice_Captain,Total_Credits,Projected_Points
ENG_PAK_Level_1_Team_1,Rank 1 Protocol (9 AR/Bowler Stack),"J Root, J Archer, B Carse, G Atkinson, H Brook, J Smith, O Edward (Robinson), K Shehzad, M Abbas, M Ali, U Shah",M Abbas,K Shehzad,93.0,1615.4
ENG_PAK_Level_1_Team_2,Rank 1 Protocol (9 AR/Bowler Stack),"J Archer, B Carse, G Atkinson, H Brook, O Edward (Robinson), K Shehzad, M Abbas, M Ali, M Rizwan, A Jamal, U Shah",K Shehzad,M Abbas,92.0,1600.1
ENG_PAK_Level_1_Team_3,Rank 1 Protocol (9 AR/Bowler Stack),"J Root, J Archer, B Duckett, B Carse, G Atkinson, O Edward (Robinson), K Shehzad, M Abbas, M Ali, M Rizwan, U Shah",G Atkinson,K Shehzad,93.0,1589.6
ENG_PAK_Level_2_Team_1,Rank 1 Protocol (9 AR/Bowler Stack),"J Root, J Archer, B Carse, G Atkinson, J Tongue, O Edward (Robinson), K Shehzad, M Abbas, M Ali, M Rizwan, S Shakeel",M Abbas,K Shehzad,93.0,1585.2
ENG_PAK_Level_2_Team_2,Rank 1 Protocol (9 AR/Bowler Stack),"J Root, J Archer, B Duckett, B Carse, G Atkinson, J Smith, O Edward (Robinson), S Cook, K Shehzad, M Abbas, M Ali",J Archer,K Shehzad,92.5,1584.9
ENG_PAK_Level_2_Team_3,Rank 1 Protocol (9 AR/Bowler Stack),"J Root, J Archer, G Atkinson, H Brook, O Edward (Robinson), K Shehzad, M Abbas, M Ali, M Rizwan, S Khan, U Shah",M Ali,M Abbas,92.5,1581.1
ENG_PAK_Level_3_Team_1,Rank 1 Protocol (9 AR/Bowler Stack),"J Root, J Archer, B Duckett, B Carse, J Smith, J Tongue, O Edward (Robinson), K Shehzad, M Abbas, M Ali, U Shah",J Archer,M Abbas,92.5,1578.5
ENG_PAK_Level_3_Team_2,Rank 1 Protocol (9 AR/Bowler Stack),"J Root, J Archer, B Carse, G Atkinson, J Tongue, O Pope, S Cook, K Shehzad, M Abbas, M Ali, M Rizwan",J Root,K Shehzad,92.0,1534.9
ENG_PAK_Level_3_Team_3,Rank 1 Protocol (9 AR/Bowler Stack),"J Root, J Archer, B Carse, G Atkinson, O Edward (Robinson), K Shehzad, M Abbas, M Rizwan, A Jamal, S Shakeel, U Shah",M Abbas,K Shehzad,92.0,1558.4
ENG_PAK_Level_4_Team_1,Rank 1 Protocol (9 AR/Bowler Stack),"J Archer, O Edward (Robinson), M Fisher, S Cook, A Shafique, K Shehzad, M Abbas, M Ali, M Rizwan, A Jamal, U Shah",M Ali,M Abbas,89.0,1517.0
ENG_PAK_Level_4_Team_2,Rank 1 Protocol (9 AR/Bowler Stack),"J Archer, G Atkinson, H Brook, J Smith, O Edward (Robinson), M Fisher, K Shehzad, M Abbas, M Ali, S Ali Agha, U Shah",J Archer,M Ali,91.0,1554.8
ENG_PAK_Level_4_Team_3,Rank 1 Protocol (9 AR/Bowler Stack),"J Root, J Archer, B Carse, G Atkinson, H Brook, J Tongue, O Edward (Robinson), K Shehzad, M Ali, M Rizwan, U Shah",K Shehzad,B Carse,92.5,1574.9
ENG_PAK_Level_5_Team_1,Rank 1 Protocol (9 AR/Bowler Stack),"J Root, J Archer, G Atkinson, J Smith, J Tongue, O Edward (Robinson), O Pope, K Shehzad, M Abbas, M Ali, S Ali Agha",M Abbas,M Ali,93.0,1535.0
ENG_PAK_Level_5_Team_2,Rank 1 Protocol (9 AR/Bowler Stack),"J Root, J Archer, B Duckett, B Carse, G Atkinson, J Cox, O Edward (Robinson), S Cook, K Shehzad, M Abbas, A Jamal",K Shehzad,M Abbas,91.5,1520.2
ENG_PAK_Level_5_Team_3,Rank 1 Protocol (9 AR/Bowler Stack),"J Root, J Archer, B Carse, J Smith, S Cook, K Shehzad, M Abbas, M Ali, I ul-Haq, S Khan, U Shah",J Archer,M Abbas,91.0,1534.6
