Lineup_ID,Players,Total_Credits,Projected_Points
ENG_PAK_Level_1_Team_1,"J Root, J Archer, G Atkinson, H Brook, J Tongue, O Edward (Robinson), M Rizwan, K Shehzad, M Abbas, M Ali, S Ali Agha",93.5,1648.8
ENG_PAK_Level_1_Team_2,"J Root, J Archer, G Atkinson, H Brook, J Smith, D Lawrence, J Tongue, O Edward (Robinson), K Shehzad, M Abbas, M Ali",93.0,1650.9
ENG_PAK_Level_1_Team_3,"J Root, J Archer, B Duckett, G Atkinson, D Lawrence, J Tongue, O Edward (Robinson), M Rizwan, K Shehzad, M Abbas, M Ali",93.0,1622.7
ENG_PAK_Level_2_Team_1,"J Root, J Archer, G Atkinson, J Tongue, O Edward (Robinson), M Rizwan, A Shafique, K Shehzad, M Abbas, M Ali, A Usman",93.0,1623.9
ENG_PAK_Level_2_Team_2,"J Root, J Archer, B Duckett, G Atkinson, J Smith, J Tongue, O Edward (Robinson), K Shehzad, M Abbas, M Ali, S Ali Agha",93.5,1622.7
ENG_PAK_Level_2_Team_3,"J Root, J Archer, G Atkinson, J Cox, J Tongue, O Edward (Robinson), A Shafique, K Shehzad, M Abbas, M Ali, S Ali Agha",93.0,1601.8
ENG_PAK_Level_3_Team_1,"J Root, J Archer, G Atkinson, J Smith, J Tongue, O Edward (Robinson), K Shehzad, M Abbas, M Ali, A Usman, S Shakeel",92.5,1620.9
ENG_PAK_Level_3_Team_2,"J Root, J Archer, G Atkinson, H Brook, J Smith, J Tongue, O Edward (Robinson), K Shehzad, M Abbas, S Ali Agha, A Usman",93.0,1555.5
ENG_PAK_Level_3_Team_3,"J Root, J Archer, G Atkinson, D Lawrence, J Tongue, O Edward (Robinson), M Rizwan, K Shehzad, M Ali, S Ali Agha, I ul-Haq",92.5,1585.7
ENG_PAK_Level_4_Team_1,"J Archer, G Atkinson, J Smith, J Tongue, O Edward (Robinson), A Shafique, K Shehzad, M Abbas, M Ali, S Ali Agha, A Usman",92.5,1561.6
ENG_PAK_Level_4_Team_2,"J Archer, G Atkinson, H Brook, D Lawrence, J Tongue, O Edward (Robinson), M Rizwan, K Shehzad, M Abbas, S Ali Agha, A Usman",92.0,1559.1
ENG_PAK_Level_4_Team_3,"J Root, J Archer, G Atkinson, H Brook, D Lawrence, J Tongue, O Edward (Robinson), M Rizwan, M Abbas, M Ali, A Usman",92.5,1601.6
ENG_PAK_Level_5_Team_1,"J Root, J Archer, G Atkinson, J Smith, D Lawrence, J Tongue, O Edward (Robinson), A Shafique, K Shehzad, M Abbas, S Ali Agha",93.0,1593.8
ENG_PAK_Level_5_Team_2,"J Archer, G Atkinson, H Brook, J Cox, J Tongue, O Edward (Robinson), K Shehzad, M Abbas, M Ali, S Ali Agha, A Usman",92.0,1560.6
ENG_PAK_Level_5_Team_3,"J Archer, G Atkinson, J Smith, D Lawrence, J Tongue, O Edward (Robinson), K Shehzad, M Abbas, M Ali, S Ali Agha, S Shakeel",92.0,1597.9
