Lineup_ID,Players,Captain,Vice_Captain,Total_Credits,Projected_Points
D11_Enterprise_Lvl_1_Team_1,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",Jofra Archer,Gus Atkinson,93.5,1668.9
D11_Enterprise_Lvl_1_Team_2,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Shoaib Bashir, Aamer Jamal, Khurram Shahzad, Mohammad Abbas",Gus Atkinson,Jofra Archer,92.5,1642.5
D11_Enterprise_Lvl_1_Team_3,"Joe Root, Jofra Archer, Gus Atkinson, Jamie Smith, Josh Tongue, Ollie Robinson, Shoaib Bashir, Saud Shakeel, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",Ollie Robinson,Jofra Archer,92.5,1631.5
D11_Enterprise_Lvl_2_Team_1,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Abdullah Shafique, Aamer Jamal, Khurram Shahzad, Mohammad Abbas",Jofra Archer,Gus Atkinson,93.0,1646.9
D11_Enterprise_Lvl_2_Team_2,"Joe Root, Jofra Archer, Gus Atkinson, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Abdullah Shafique, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",Gus Atkinson,Jofra Archer,93.0,1639.5
D11_Enterprise_Lvl_2_Team_3,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Aamer Jamal, Khurram Shahzad, Mohammad Ali",Josh Tongue,Jofra Archer,92.5,1611.4
D11_Enterprise_Lvl_3_Team_1,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Khurram Shahzad, Mohammad Abbas, Imam-ul-Haq",Ollie Robinson,Jofra Archer,92.5,1627.5
D11_Enterprise_Lvl_3_Team_2,"Jofra Archer, Ben Duckett, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Shan Masood, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",Jofra Archer,Ollie Robinson,93.0,1629.4
D11_Enterprise_Lvl_3_Team_3,"Jofra Archer, Ben Duckett, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Salman Ali Agha, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",Gus Atkinson,Jofra Archer,93.0,1617.8
D11_Enterprise_Lvl_4_Team_1,"Joe Root, Jofra Archer, Gus Atkinson, Jordan Cox, Josh Tongue, Ollie Robinson, Shoaib Bashir, Aamer Jamal, Mohammad Abbas, Mohammad Ali, Imam-ul-Haq",Josh Tongue,Gus Atkinson,91.5,1547.6
D11_Enterprise_Lvl_4_Team_2,"Joe Root, Jofra Archer, Gus Atkinson, Jamie Smith, Josh Tongue, Ollie Robinson, Salman Ali Agha, Abdullah Shafique, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",Jofra Archer,Ollie Robinson,93.5,1631.4
D11_Enterprise_Lvl_4_Team_3,"Joe Root, Jofra Archer, Gus Atkinson, Jordan Cox, Josh Tongue, Ollie Robinson, Salman Ali Agha, Khurram Shahzad, Mohammad Abbas, Mohammad Ali, Imam-ul-Haq",Mohammad Abbas,Gus Atkinson,92.5,1538.4
D11_Enterprise_Lvl_5_Team_1,"Jofra Archer, Ben Duckett, Gus Atkinson, Jamie Smith, Ollie Robinson, Shoaib Bashir, Aamer Jamal, Khurram Shahzad, Mohammad Abbas, Mohammad Ali, Imam-ul-Haq",Jofra Archer,Gus Atkinson,92.0,1570.3
D11_Enterprise_Lvl_5_Team_2,"Joe Root, Jofra Archer, Ben Duckett, Gus Atkinson, Harry Brook, Jamie Smith, Ollie Robinson, Salman Ali Agha, Aamer Jamal, Khurram Shahzad, Mohammad Abbas",Gus Atkinson,Jofra Archer,93.5,1580.4
D11_Enterprise_Lvl_5_Team_3,"Jofra Archer, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Shoaib Bashir, Salman Ali Agha, Mohammad Rizwan, Abdullah Shafique, Shan Masood, Mohammad Abbas",Ollie Robinson,Jofra Archer,92.5,1561.7
