Lineup_ID,Players,Captain,Vice_Captain,Total_Credits,Projected_Points
Enterprise_Lvl_1_Team_1,"J Root, J Archer, B Duckett, G Atkinson, H Brook, J Tongue, O Robinson, M Rizwan, K Shehzad, M Abbas, M Ali",J Archer,G Atkinson,93.5,1664.9
Enterprise_Lvl_1_Team_2,"J Root, J Archer, G Atkinson, H Brook, J Smith, J Tongue, O Robinson, K Shehzad, M Abbas, M Ali, A Jamal",J Archer,G Atkinson,93.0,1666.9
Enterprise_Lvl_1_Team_3,"J Root, J Archer, G Atkinson, H Brook, J Tongue, O Robinson, M Rizwan, K Shehzad, M Abbas, S Ali Agha, A Jamal",J Archer,O Robinson,93.0,1642.4
Enterprise_Lvl_2_Team_1,"J Root, J Archer, G Atkinson, J Tongue, O Robinson, M Rizwan, K Shehzad, M Abbas, M Ali, A Jamal, I ul-Haq",G Atkinson,J Archer,92.5,1635.8
Enterprise_Lvl_2_Team_2,"J Root, J Archer, B Duckett, G Atkinson, J Smith, J Tongue, O Robinson, K Shehzad, M Abbas, M Ali, S Shakeel",J Archer,G Atkinson,93.0,1640.9
Enterprise_Lvl_2_Team_3,"J Root, J Archer, G Atkinson, J Tongue, O Robinson, M Rizwan, K Shehzad, M Abbas, M Ali, S Masood, S Shakeel",J Archer,G Atkinson,93.0,1638.9
Enterprise_Lvl_3_Team_1,"J Root, J Archer, G Atkinson, H Brook, J Cox, J Tongue, O Robinson, A Shafique, K Shehzad, M Abbas, M Ali",G Atkinson,J Archer,93.0,1624.8
Enterprise_Lvl_3_Team_2,"J Root, J Archer, G Atkinson, H Brook, J Smith, D Lawrence, J Tongue, O Robinson, K Shehzad, M Abbas, S Ali Agha",G Atkinson,J Archer,93.0,1614.8
Enterprise_Lvl_3_Team_3,"J Root, J Archer, B Duckett, G Atkinson, J Cox, J Tongue, O Robinson, K Shehzad, M Abbas, M Ali, S Masood",G Atkinson,O Robinson,93.0,1593.1
Enterprise_Lvl_4_Team_1,"J Root, J Archer, G Atkinson, J Smith, O Robinson, K Shehzad, M Abbas, M Ali, S Ali Agha, A Jamal, I ul-Haq",J Archer,G Atkinson,93.0,1585.5
Enterprise_Lvl_4_Team_2,"J Archer, B Duckett, G Atkinson, H Brook, D Lawrence, J Tongue, O Robinson, M Rizwan, K Shehzad, M Abbas, A Jamal",G Atkinson,J Archer,92.0,1603.8
Enterprise_Lvl_4_Team_3,"J Archer, G Atkinson, H Brook, J Tongue, O Robinson, M Rizwan, A Shafique, K Shehzad, M Abbas, M Ali, A Jamal",O Robinson,J Archer,92.5,1624.7
Enterprise_Lvl_5_Team_1,"J Root, J Archer, G Atkinson, H Brook, D Lawrence, J Tongue, O Robinson, M Rizwan, M Abbas, S Masood, A Jamal",J Archer,O Robinson,92.5,1601.6
Enterprise_Lvl_5_Team_2,"J Root, J Archer, G Atkinson, H Brook, D Lawrence, J Cox, J Tongue, O Robinson, A Shafique, M Abbas, A Jamal",G Atkinson,J Archer,92.0,1570.0
Enterprise_Lvl_5_Team_3,"J Root, J Archer, B Duckett, G Atkinson, J Smith, J Tongue, O Robinson, M Abbas, M Ali, S Masood, A Usman",J Archer,M Abbas,93.0,1562.5
