Lineup_ID,Players,Captain,Vice_Captain,Total_Credits,Projected_Points
D11_Enterprise_v4_Lvl_1_Team_1,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Aamer Jamal, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",Jofra Archer,Gus Atkinson,93.0,1812.0
D11_Enterprise_v4_Lvl_1_Team_2,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Khurram Shahzad, Mohammad Abbas",Gus Atkinson,Jofra Archer,93.0,1773.7
D11_Enterprise_v4_Lvl_1_Team_3,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Salman Ali Agha, Aamer Jamal, Khurram Shahzad, Mohammad Abbas",Ollie Robinson,Jofra Archer,93.0,1755.4
D11_Enterprise_v4_Lvl_2_Team_1,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Shoaib Bashir, Salman Ali Agha, Mohammad Rizwan, Aamer Jamal, Khurram Shahzad",Gus Atkinson,Jofra Archer,92.5,1747.5
D11_Enterprise_v4_Lvl_2_Team_2,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Saud Shakeel, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",Jofra Archer,Gus Atkinson,93.0,1788.1
D11_Enterprise_v4_Lvl_2_Team_3,"Joe Root, Jofra Archer, Gus Atkinson, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Saud Shakeel, Aamer Jamal, Khurram Shahzad, Mohammad Abbas",Ollie Robinson,Jofra Archer,92.0,1745.7
D11_Enterprise_v4_Lvl_3_Team_1,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Jamie Smith, Ollie Robinson, Aamer Jamal, Khurram Shahzad, Mohammad Abbas, Mohammad Ali, Imam-ul-Haq",Gus Atkinson,Ollie Robinson,93.0,1697.7
D11_Enterprise_v4_Lvl_3_Team_2,"Joe Root, Jofra Archer, Gus Atkinson, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Shan Masood, Aamer Jamal, Khurram Shahzad, Mohammad Ali",Jofra Archer,Ollie Robinson,92.5,1750.4
D11_Enterprise_v4_Lvl_3_Team_3,"Joe Root, Jofra Archer, Ben Duckett, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Aamer Jamal, Khurram Shahzad, Mohammad Ali",Joe Root,Gus Atkinson,93.0,1690.7
D11_Enterprise_v4_Lvl_4_Team_1,"Jofra Archer, Ben Duckett, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Saud Shakeel, Aamer Jamal, Khurram Shahzad, Mohammad Abbas",Jofra Archer,Ollie Robinson,92.0,1742.1
D11_Enterprise_v4_Lvl_4_Team_2,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Salman Ali Agha, Mohammad Rizwan, Abdullah Shafique, Khurram Shahzad, Mohammad Abbas",Gus Atkinson,Jofra Archer,93.5,1749.3
D11_Enterprise_v4_Lvl_4_Team_3,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Jordan Cox, Josh Tongue, Ollie Robinson, Saud Shakeel, Aamer Jamal, Khurram Shahzad, Mohammad Ali",Ollie Robinson,Jofra Archer,92.0,1717.8
D11_Enterprise_v4_Lvl_5_Team_1,"Joe Root, Jofra Archer, Gus Atkinson, Jamie Smith, Dan Lawrence, Josh Tongue, Ollie Robinson, Shoaib Bashir, Saud Shakeel, Khurram Shahzad, Mohammad Abbas",Jofra Archer,Gus Atkinson,92.0,1735.8
D11_Enterprise_v4_Lvl_5_Team_2,"Joe Root, Jofra Archer, Gus Atkinson, Josh Tongue, Ollie Robinson, Salman Ali Agha, Mohammad Rizwan, Shan Masood, Aamer Jamal, Khurram Shahzad, Mohammad Abbas",Gus Atkinson,Jofra Archer,93.0,1739.5
D11_Enterprise_v4_Lvl_5_Team_3,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Shan Masood, Saud Shakeel, Khurram Shahzad, Mohammad Abbas",Ollie Robinson,Gus Atkinson,93.0,1728.5
