Lineup_ID,Pitch_Profile,Players,Captain,Vice_Captain,Total_Credits,Projected_Points
Global_Lvl_1_Team_1,Balanced / Unknown Neutral Surface,"Wicket Keeper 1, Top Batter 1, Top Batter 2, Mid Batter 2, All Rounder 1, All Rounder 2, Pace Bowler 1, Pace Bowler 2, Pace Bowler 4, Spin Bowler 1, Spin Bowler 3",Spin Bowler 1,All Rounder 1,95.0,1330.2
Global_Lvl_1_Team_2,Balanced / Unknown Neutral Surface,"Wicket Keeper 1, Top Batter 1, Top Batter 2, Mid Batter 1, All Rounder 1, Pace Bowler 1, Pace Bowler 2, Pace Bowler 3, Pace Bowler 4, Spin Bowler 1, Spin Bowler 3",All Rounder 1,Pace Bowler 2,95.5,1327.0
Global_Lvl_1_Team_3,Balanced / Unknown Neutral Surface,"Wicket Keeper 1, Wicket Keeper 2, Top Batter 1, Top Batter 2, Mid Batter 1, All Rounder 1, Pace Bowler 1, Pace Bowler 2, Spin Bowler 1, Spin Bowler 2, Spin Bowler 3",Pace Bowler 2,All Rounder 1,96.0,1321.0
Global_Lvl_2_Team_1,Balanced / Unknown Neutral Surface,"Wicket Keeper 1, Wicket Keeper 2, Top Batter 1, Mid Batter 2, Mid Batter 3, All Rounder 1, Pace Bowler 1, Pace Bowler 2, Pace Bowler 3, Spin Bowler 1, Spin Bowler 3",Pace Bowler 2,All Rounder 1,94.5,1302.0
Global_Lvl_2_Team_2,Balanced / Unknown Neutral Surface,"Wicket Keeper 3, Top Batter 1, Top Batter 2, Mid Batter 1, All Rounder 1, All Rounder 2, Pace Bowler 1, Pace Bowler 2, Pace Bowler 4, Spin Bowler 1, Spin Bowler 3",All Rounder 1,Spin Bowler 1,95.0,1323.7
Global_Lvl_2_Team_3,Balanced / Unknown Neutral Surface,"Wicket Keeper 1, Wicket Keeper 2, Top Batter 1, Top Batter 2, Mid Batter 1, All Rounder 1, All Rounder 2, Pace Bowler 1, Pace Bowler 2, Pace Bowler 4, Spin Bowler 1",Spin Bowler 1,Pace Bowler 2,96.0,1328.4
Global_Lvl_3_Team_1,Balanced / Unknown Neutral Surface,"Wicket Keeper 3, Top Batter 1, Top Batter 2, Mid Batter 1, All Rounder 1, Pace Bowler 1, Pace Bowler 2, Pace Bowler 5, Spin Bowler 1, Spin Bowler 2, Spin Bowler 3",Spin Bowler 1,Pace Bowler 1,95.0,1295.8
Global_Lvl_3_Team_2,Balanced / Unknown Neutral Surface,"Wicket Keeper 1, Wicket Keeper 3, Top Batter 1, Top Batter 2, Mid Batter 2, All Rounder 1, Pace Bowler 1, Pace Bowler 2, Pace Bowler 4, Spin Bowler 1, Spin Bowler 2",All Rounder 1,Pace Bowler 2,95.0,1323.2
Global_Lvl_3_Team_3,Balanced / Unknown Neutral Surface,"Wicket Keeper 1, Wicket Keeper 3, Top Batter 1, Mid Batter 1, Mid Batter 3, All Rounder 1, All Rounder 2, Pace Bowler 1, Pace Bowler 2, Spin Bowler 1, Spin Bowler 3",Wicket Keeper 1,Pace Bowler 2,94.5,1273.7
Global_Lvl_4_Team_1,Balanced / Unknown Neutral Surface,"Wicket Keeper 1, Wicket Keeper 3, Top Batter 1, Top Batter 2, Mid Batter 3, Pace Bowler 1, Pace Bowler 2, Pace Bowler 4, Spin Bowler 1, Spin Bowler 2, Spin Bowler 3",Spin Bowler 3,Wicket Keeper 3,94.0,1235.5
Global_Lvl_4_Team_2,Balanced / Unknown Neutral Surface,"Wicket Keeper 3, Top Batter 1, Top Batter 2, Mid Batter 2, All Rounder 1, All Rounder 2, All Rounder 3, Pace Bowler 1, Pace Bowler 2, Pace Bowler 3, Spin Bowler 3",Wicket Keeper 3,All Rounder 1,94.0,1225.7
Global_Lvl_4_Team_3,Balanced / Unknown Neutral Surface,"Wicket Keeper 3, Top Batter 1, Top Batter 2, Mid Batter 2, All Rounder 1, All Rounder 2, Pace Bowler 1, Pace Bowler 2, Pace Bowler 5, Spin Bowler 1, Spin Bowler 3",Mid Batter 2,All Rounder 2,94.5,1234.6
Global_Lvl_5_Team_1,Balanced / Unknown Neutral Surface,"Wicket Keeper 1, Top Batter 2, Mid Batter 2, Mid Batter 3, All Rounder 1, All Rounder 2, Pace Bowler 1, Pace Bowler 2, Spin Bowler 1, Spin Bowler 2, Spin Bowler 3",Spin Bowler 3,Spin Bowler 1,94.0,1259.0
Global_Lvl_5_Team_2,Balanced / Unknown Neutral Surface,"Wicket Keeper 1, Wicket Keeper 2, Top Batter 2, Mid Batter 1, Mid Batter 3, All Rounder 1, All Rounder 2, Pace Bowler 1, Spin Bowler 1, Spin Bowler 2, Spin Bowler 3",All Rounder 2,Wicket Keeper 2,94.5,1209.2
Global_Lvl_5_Team_3,Balanced / Unknown Neutral Surface,"Wicket Keeper 2, Top Batter 1, Top Batter 2, Mid Batter 2, All Rounder 1, All Rounder 2, All Rounder 3, Pace Bowler 2, Pace Bowler 3, Pace Bowler 4, Spin Bowler 2",All Rounder 3,Top Batter 2,94.0,1193.2
