Lineup_ID,Players,Captain,Vice_Captain,Total_Credits,Projected_Points
Master_Lvl_1_Team_1,"Baba Indrajith, Shivam Singh, Varun Chakaravarthy, Sandeep Warrier, Nirankar Sharma, Suresh Kumar, Rajkumar K, Sanjay Yadav, Jagatheesan Kousik, V Athisayaraj Davidson, M Ganesh Moorthi",Varun Chakaravarthy,Baba Indrajith,95.0,1220.2
Master_Lvl_1_Team_2,"Baba Indrajith, Shivam Singh, Varun Chakaravarthy, P Bhuvaneswaran, M Viju Arul, Nirankar Sharma, Suresh Kumar, Rajkumar K, Sanjay Yadav, V Athisayaraj Davidson, M Ganesh Moorthi",M Ganesh Moorthi,Varun Chakaravarthy,94.0,1187.9
Master_Lvl_1_Team_3,"Baba Indrajith, Shivam Singh, Vimal Khumar, Varun Chakaravarthy, Sandeep Warrier, P Bhuvaneswaran, Nirankar Sharma, Suresh Kumar, Rajkumar K, Sanjay Yadav, M Ganesh Moorthi",Baba Indrajith,Varun Chakaravarthy,94.5,1189.1
Master_Lvl_2_Team_1,"Mohit Mittan, Varun Chakaravarthy, Sandeep Warrier, Nirankar Sharma, Suresh Kumar, Rajkumar K, Sanjay Yadav, Jagatheesan Kousik, Antony Dhas, V Athisayaraj Davidson, M Ganesh Moorthi",Varun Chakaravarthy,Sanjay Yadav,93.5,1182.8
Master_Lvl_2_Team_2,"Baba Indrajith, Shivam Singh, Vimal Khumar, Varun Chakaravarthy, Sandeep Warrier, M Viju Arul, Suresh Kumar, Rajkumar K, Sanjay Yadav, V Athisayaraj Davidson, M Ganesh Moorthi",Shivam Singh,Varun Chakaravarthy,95.5,1184.6
Master_Lvl_2_Team_3,"Baba Indrajith, Shivam Singh, Vimal Khumar, Vineeth VK, Varun Chakaravarthy, Sandeep Warrier, Suresh Kumar, Rajkumar K, Sanjay Yadav, Jagatheesan Kousik, M Ganesh Moorthi",Suresh Kumar,Varun Chakaravarthy,95.5,1175.6
Master_Lvl_3_Team_1,"Shivam Singh, Mohit Mittan, Varun Chakaravarthy, Sandeep Warrier, Suresh Kumar, Rajkumar K, Sanjay Yadav, Antony Dhas, V Athisayaraj Davidson, M Ganesh Moorthi, K Easwaran",Varun Chakaravarthy,Shivam Singh,94.5,1172.2
Master_Lvl_3_Team_2,"Baba Indrajith, Shivam Singh, Varun Chakaravarthy, Sandeep Warrier, Nirankar Sharma, Suresh Kumar, Rajkumar K, Sanjay Yadav, Jafar Jamal, Antony Dhas, V Athisayaraj Davidson",Baba Indrajith,Varun Chakaravarthy,94.5,1173.4
Master_Lvl_3_Team_3,"Baba Indrajith, Shivam Singh, Vimal Khumar, Varun Chakaravarthy, Sandeep Warrier, Rajkumar K, Sanjay Yadav, Jagatheesan Kousik, V Athisayaraj Davidson, M Ganesh Moorthi, K Easwaran",Sandeep Warrier,Varun Chakaravarthy,95.0,1165.6
Master_Lvl_4_Team_1,"Shivam Singh, Varun Chakaravarthy, Sandeep Warrier, P Bhuvaneswaran, Hunny Saini, Suresh Kumar, Sanjay Yadav, Jagatheesan Kousik, Jafar Jamal, V Athisayaraj Davidson, M Ganesh Moorthi",Varun Chakaravarthy,Sandeep Warrier,93.5,1171.2
Master_Lvl_4_Team_2,"Baba Indrajith, Varun Chakaravarthy, Sandeep Warrier, P Bhuvaneswaran, Nirankar Sharma, Hunny Saini, Rajkumar K, Sanjay Yadav, Jafar Jamal, V Athisayaraj Davidson, M Ganesh Moorthi",Baba Indrajith,Sanjay Yadav,92.0,1139.5
Master_Lvl_4_Team_3,"Baba Indrajith, Shivam Singh, Vimal Khumar, Mohit Mittan, Varun Chakaravarthy, Sandeep Warrier, Suresh Kumar, Rajkumar K, Sanjay Yadav, Jafar Jamal, V Athisayaraj Davidson",Rajkumar K,Varun Chakaravarthy,96.0,1160.9
Master_Lvl_5_Team_1,"Baba Indrajith, Shivam Singh, Varun Chakaravarthy, M Viju Arul, Nirankar Sharma, Suresh Kumar, Rajkumar K, Jafar Jamal, V Athisayaraj Davidson, M Ganesh Moorthi, K Easwaran",Varun Chakaravarthy,M Ganesh Moorthi,93.0,1176.6
Master_Lvl_5_Team_2,"Vimal Khumar, Varun Chakaravarthy, Sandeep Warrier, P Bhuvaneswaran, Suresh Kumar, Rajkumar K, Sanjay Yadav, Jagatheesan Kousik, Jafar Jamal, V Athisayaraj Davidson, M Ganesh Moorthi",Suresh Kumar,Varun Chakaravarthy,94.0,1164.6
Master_Lvl_5_Team_3,"Baba Indrajith, Vineeth VK, Varun Chakaravarthy, P Bhuvaneswaran, M Viju Arul, Nirankar Sharma, Suresh Kumar, Sanjay Yadav, V Athisayaraj Davidson, M Ganesh Moorthi, K Easwaran",V Athisayaraj Davidson,Varun Chakaravarthy,92.5,1147.1
