Lineup_ID,Players,Captain,Vice_Captain,Total_Credits,Projected_Points
Lvl_1_Team_1,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Pranav Rajvanshi, Mayank Dagar, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Pranshu Vijayran, Vision Panchal, Anshuman Hooda",Sarthak Ranjan,Ayush Badoni,96.5,985.5
Lvl_1_Team_2,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Mayank Dagar, Arjun Rapria, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Vision Panchal, Sumit Mathur, Anshuman Hooda",Ayush Badoni,Sarthak Ranjan,95.5,975.8
Lvl_1_Team_3,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Pranav Rajvanshi, Mayank Dagar, Arjun Rapria, Harshit Rana, Sanat Sangwan, Ayush Badoni, Tejasvi Dahiya, Vision Panchal",Vaibhav Kandpal,Ayush Badoni,96.0,960.3
Lvl_2_Team_1,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Pranav Rajvanshi, Bharat Sindhwani, Mayank Dagar, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Vision Panchal, Sumit Mathur",Ayush Badoni,Vaibhav Kandpal,96.0,960.8
Lvl_2_Team_2,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Yash Dabas, Pranav Rajvanshi, Mayank Dagar, Harshit Rana, Vikas Dixit, Ayush Badoni, Tejasvi Dahiya, Vision Panchal",Sarthak Ranjan,Ayush Badoni,96.0,965.0
Lvl_2_Team_3,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Mayank Dagar, Arjun Rapria, Harshit Rana, Sanat Sangwan, Ayush Badoni, Tejasvi Dahiya, Pranshu Vijayran, Anshuman Hooda",Vaibhav Kandpal,Ayush Badoni,95.5,955.8
Lvl_3_Team_1,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Mayank Dagar, Harshit Rana, Sanat Sangwan, Ayush Badoni, Tejasvi Dahiya, Vision Panchal, Anshuman Hooda, Yamit Sehrawat",Sarthak Ranjan,Ayush Badoni,95.0,974.0
Lvl_3_Team_2,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Yash Dabas, Mayank Dagar, Arjun Rapria, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Sumit Mathur, Deepanshu Gulia",Ayush Badoni,Sarthak Ranjan,94.5,952.8
Lvl_3_Team_3,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Yash Dabas, Pranav Rajvanshi, Mayank Dagar, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Anshuman Hooda, Sagar Tanwar",Mayank Dagar,Vaibhav Kandpal,95.0,934.3
Lvl_4_Team_1,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Bharat Sindhwani, Mayank Dagar, Harshit Rana, Ayush Badoni, Vision Panchal, Sumit Mathur, Anshuman Hooda, Rishabh Sharma",Sarthak Ranjan,Mayank Dagar,94.5,932.6
Lvl_4_Team_2,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Pranav Rajvanshi, Bharat Sindhwani, Mayank Dagar, Harshit Rana, Sanat Sangwan, Ayush Badoni, Vision Panchal, Anshuman Hooda",Ayush Badoni,Sarthak Ranjan,95.5,959.0
Lvl_4_Team_3,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Pranav Rajvanshi, Mayank Dagar, Arjun Rapria, Harshit Rana, Ayush Badoni, Pranshu Vijayran, Anshuman Hooda, Pranav Pant",Vaibhav Kandpal,Ayush Badoni,94.5,936.1
Lvl_5_Team_1,"Sarthak Ranjan, Vaibhav Kandpal, Yash Dabas, Pranav Rajvanshi, Mayank Dagar, Harshit Rana, Sanat Sangwan, Ayush Badoni, Tejasvi Dahiya, Vision Panchal, Anshuman Hooda",Vision Panchal,Ayush Badoni,95.5,923.8
Lvl_5_Team_2,"Sarthak Ranjan, Yash Bhatia, Pranav Rajvanshi, Mayank Dagar, Arjun Rapria, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Vision Panchal, Anshuman Hooda, Deepanshu Gulia",Ayush Badoni,Sarthak Ranjan,94.5,947.0
Lvl_5_Team_3,"Sarthak Ranjan, Vaibhav Kandpal, Yash Bhatia, Pranav Rajvanshi, Mayank Dagar, Arjun Rapria, Harshit Rana, Ayush Badoni, Tejasvi Dahiya, Sumit Kumar, Pranav Pant",Harshit Rana,Vaibhav Kandpal,94.5,925.6
