Lineup_ID,Players,Total_Credits,Projected_Points
Level_1_Lineup_1,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Shoaib Bashir, Aamer Jamal, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",92.5,1666.1
Level_1_Lineup_2,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",93.5,1658.8
Level_1_Lineup_3,"Joe Root, Jofra Archer, Ben Duckett, Gus Atkinson, Jamie Smith, Josh Tongue, Ollie Robinson, Shoaib Bashir, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",93.0,1634.5
Level_2_Lineup_1,"Joe Root, Jofra Archer, Gus Atkinson, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Aamer Jamal, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",92.5,1649.5
Level_2_Lineup_2,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",93.5,1666.4
Level_2_Lineup_3,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Abdullah Shafique, Aamer Jamal, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",93.0,1611.6
Level_3_Lineup_1,"Jofra Archer, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Aamer Jamal, Mohammad Abbas, Mohammad Ali, Imam-ul-Haq",92.0,1606.6
Level_3_Lineup_2,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Dan Lawrence, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",93.0,1644.8
Level_3_Lineup_3,"Joe Root, Jofra Archer, Gus Atkinson, Jamie Smith, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",93.0,1642.5
Level_4_Lineup_1,"Joe Root, Jofra Archer, Ben Duckett, Gus Atkinson, Dan Lawrence, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Shan Masood, Aamer Jamal, Khurram Shahzad",92.5,1567.0
Level_4_Lineup_2,"Joe Root, Jofra Archer, Gus Atkinson, Dan Lawrence, Josh Tongue, Ollie Robinson, Shoaib Bashir, Salman Ali Agha, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",92.5,1570.2
Level_4_Lineup_3,"Jofra Archer, Ben Duckett, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Saud Shakeel, Aamer Jamal, Khurram Shahzad, Mohammad Abbas",92.0,1620.9
Level_5_Lineup_1,"Jofra Archer, Ben Duckett, Gus Atkinson, Ollie Robinson, Shoaib Bashir, Salman Ali Agha, Mohammad Rizwan, Shan Masood, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",93.0,1529.6
Level_5_Lineup_2,"Jofra Archer, Ben Duckett, Gus Atkinson, Jamie Smith, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Shan Masood, Saud Shakeel, Aamer Jamal, Mohammad Abbas",92.0,1534.0
Level_5_Lineup_3,"Joe Root, Jofra Archer, Gus Atkinson, Dan Lawrence, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Aamer Jamal, Khurram Shahzad, Mohammad Abbas",92.0,1604.3
