Lineup_ID,Players,Total_Credits,Projected_Points
Aggression_Level_1_Lineup_1,"N Jagadeesan, S Singh, A Valtharaj, M Silambarasan, S Lokeshwar, Shahrukh Khan, B Sachin, R Ambrish, J Subramanyan, G Kishoor, M Siddharth",95.5,1163.2
Aggression_Level_1_Lineup_2,"N Jagadeesan, M Hariharan, S Singh, M Silambarasan, S Lokeshwar, Shahrukh Khan, S Radhakrishnan, B Sachin, R Ambrish, J Subramanyan, M Siddharth",96.0,1154.2
Aggression_Level_1_Lineup_3,"N Jagadeesan, S Singh, A Tanwar, P Kumar, M Silambarasan, S Lokeshwar, Shahrukh Khan, B Sachin, R Ambrish, J Subramanyan, M Siddharth",96.0,1117.8
Aggression_Level_2_Lineup_1,"N Jagadeesan, Aashiq-K, S Singh, A Valtharaj, M Silambarasan, S Lokeshwar, Shahrukh Khan, B Sachin, R Ambrish, J Subramanyan, M Siddharth",95.5,1156.2
Aggression_Level_2_Lineup_2,"Aashiq-K, S Singh, P Kumar, M Silambarasan, S Lokeshwar, Shahrukh Khan, B Sachin, R Ambrish, J Subramanyan, G Kishoor, M Siddharth",94.0,1142.2
Aggression_Level_2_Lineup_3,"N Jagadeesan, M Hariharan, P Kumar, M Silambarasan, S Lokeshwar, Shahrukh Khan, S Radhakrishnan, B Sachin, R Ambrish, J Subramanyan, M Siddharth",95.5,1110.8
Aggression_Level_3_Lineup_1,"N Jagadeesan, S Singh, A Valtharaj, A Tanwar, P Kumar, M Silambarasan, Shahrukh Khan, S Radhakrishnan, R Ambrish, J Subramanyan, M Siddharth",95.5,1126.2
Aggression_Level_3_Lineup_2,"N Jagadeesan, M Hariharan, S Singh, A Valtharaj, P Kumar, M Silambarasan, S Lokeshwar, B Sachin, R Ambrish, J Subramanyan, M Siddharth",95.0,1147.2
Aggression_Level_3_Lineup_3,"N Jagadeesan, M Hariharan, S Singh, A Valtharaj, M Silambarasan, B Sachin, K Madhavan, R Ambrish, J Subramanyan, M Siddharth, R Divakar",94.0,1087.2
Aggression_Level_4_Lineup_1,"N Jagadeesan, S Singh, A Tanwar, P Kumar, M Silambarasan, S Lokeshwar, S Radhakrishnan, B Sachin, R Ambrish, J Subramanyan, M Siddharth",95.0,1142.2
Aggression_Level_4_Lineup_2,"N Jagadeesan, A Valtharaj, V Marimuthu, M Silambarasan, R Arvindh-R, S Lokeshwar, Shahrukh Khan, S Radhakrishnan, R Ambrish, J Subramanyan, M Siddharth",94.0,1113.2
Aggression_Level_4_Lineup_3,"N Jagadeesan, M Hariharan, A Valtharaj, M Silambarasan, Shahrukh Khan, S Radhakrishnan, B Sachin, K Madhavan, J Subramanyan, G Kishoor, M Siddharth",95.0,1088.8
Aggression_Level_5_Lineup_1,"N Jagadeesan, M Hariharan, S Singh, M Silambarasan, S Lokeshwar, S Radhakrishnan, B Sachin, K Madhavan, J Subramanyan, G Kishoor, M Siddharth",94.5,1124.2
Aggression_Level_5_Lineup_2,"N Jagadeesan, M Mohana, A Valtharaj, M Silambarasan, S Lokeshwar, Shahrukh Khan, B Sachin, R Ambrish, J Subramanyan, M Siddharth, H Akash",94.0,1103.5
Aggression_Level_5_Lineup_3,"N Jagadeesan, M Hariharan, A Valtharaj, A Tanwar, P Kumar, M Silambarasan, S Lokeshwar, B Sachin, R Ambrish, J Subramanyan, M Siddharth",94.5,1098.8
