Lineup_ID,Players,Captain,Vice_Captain,Total_Credits,Projected_Points
D11_Master_Lvl_1_Team_1,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Aamer Jamal, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",Jofra Archer,Gus Atkinson,93.0,1812.0
D11_Master_Lvl_1_Team_2,"Joe Root, Jofra Archer, Ben Duckett, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Khurram Shahzad, Mohammad Ali",Gus Atkinson,Jofra Archer,93.5,1758.2
D11_Master_Lvl_1_Team_3,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Shoaib Bashir, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",Ollie Robinson,Jofra Archer,93.0,1767.3
D11_Master_Lvl_2_Team_1,"Joe Root, Jofra Archer, Ben Duckett, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Aamer Jamal, Khurram Shahzad, Mohammad Abbas",Ollie Robinson,Jofra Archer,93.0,1760.7
D11_Master_Lvl_2_Team_2,"Joe Root, Jofra Archer, Gus Atkinson, Jamie Smith, Josh Tongue, Ollie Robinson, Shoaib Bashir, Shan Masood, Aamer Jamal, Khurram Shahzad, Mohammad Abbas",Jofra Archer,Ollie Robinson,92.5,1753.8
D11_Master_Lvl_2_Team_3,"Joe Root, Jofra Archer, Ben Duckett, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Khurram Shahzad, Mohammad Abbas",Gus Atkinson,Jofra Archer,93.0,1766.9
D11_Master_Lvl_3_Team_1,"Jofra Archer, Ben Duckett, Gus Atkinson, Harry Brook, Josh Tongue, Ollie Robinson, Shoaib Bashir, Salman Ali Agha, Mohammad Rizwan, Aamer Jamal, Khurram Shahzad",Jofra Archer,Gus Atkinson,92.0,1725.9
D11_Master_Lvl_3_Team_2,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Abdullah Shafique, Aamer Jamal, Khurram Shahzad, Mohammad Ali",Ollie Robinson,Gus Atkinson,93.0,1723.5
D11_Master_Lvl_3_Team_3,"Joe Root, Jofra Archer, Gus Atkinson, Jamie Smith, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Saud Shakeel, Khurram Shahzad, Mohammad Abbas",Gus Atkinson,Jofra Archer,92.5,1746.6
D11_Master_Lvl_4_Team_1,"Jofra Archer, Ben Duckett, Gus Atkinson, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Saud Shakeel, Khurram Shahzad, Mohammad Abbas, Mohammad Ali",Gus Atkinson,Jofra Archer,92.0,1717.9
D11_Master_Lvl_4_Team_2,"Joe Root, Jofra Archer, Ben Duckett, Gus Atkinson, Josh Tongue, Ollie Robinson, Mohammad Rizwan, Saud Shakeel, Aamer Jamal, Khurram Shahzad, Mohammad Ali",Ollie Robinson,Jofra Archer,92.5,1730.2
D11_Master_Lvl_4_Team_3,"Joe Root, Jofra Archer, Ben Duckett, Gus Atkinson, Jamie Smith, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Aamer Jamal, Khurram Shahzad",Jofra Archer,Gus Atkinson,92.5,1751.3
D11_Master_Lvl_5_Team_1,"Jofra Archer, Gus Atkinson, Harry Brook, Jordan Cox, Josh Tongue, Ollie Robinson, Shoaib Bashir, Mohammad Rizwan, Khurram Shahzad, Mohammad Abbas, Imam-ul-Haq",Jofra Archer,Ollie Robinson,91.5,1704.7
D11_Master_Lvl_5_Team_2,"Joe Root, Jofra Archer, Ben Duckett, Gus Atkinson, Harry Brook, Jamie Smith, Ollie Robinson, Saud Shakeel, Aamer Jamal, Khurram Shahzad, Mohammad Ali",Gus Atkinson,Jofra Archer,93.0,1702.4
D11_Master_Lvl_5_Team_3,"Joe Root, Jofra Archer, Gus Atkinson, Harry Brook, Jamie Smith, Josh Tongue, Ollie Robinson, Salman Ali Agha, Abdullah Shafique, Saud Shakeel, Mohammad Abbas",Ollie Robinson,Jofra Archer,93.0,1696.2
