Lineup_ID,Players,Captain,Vice_Captain,Total_Credits,Projected_Points
SQL_Lvl_1_Team_1,"Roston Chase, Tim Seifert, Shai Hope, Shimron Hetmyer, Romario Shepherd, Matthew Forde, Maheesh Theekshana, Ackeem Auguste, Shadley van Schalkwyk, Mohammad Nabi, Charith Asalanka",Shimron Hetmyer,Charith Asalanka,96.5,1182.0
SQL_Lvl_1_Team_2,"Roston Chase, Shai Hope, Shimron Hetmyer, Romario Shepherd, Matthew Forde, Maheesh Theekshana, Noor Ahmad, Imran Tahir, Khary Pierre, Ackeem Auguste, Charith Asalanka",Shai Hope,Shimron Hetmyer,96.0,1164.0
SQL_Lvl_1_Team_3,"Roston Chase, Tim Seifert, Shai Hope, Shimron Hetmyer, Romario Shepherd, Matthew Forde, Maheesh Theekshana, Dwaine Pretorius, Imran Tahir, Ackeem Auguste, Charith Asalanka",Ackeem Auguste,Shimron Hetmyer,97.0,1175.0
SQL_Lvl_2_Team_1,"Tim Seifert, Shai Hope, Shimron Hetmyer, Romario Shepherd, Matthew Forde, Maheesh Theekshana, Dwaine Pretorius, Shamar Joseph, Ackeem Auguste, Mohammad Nabi, Charith Asalanka",Shai Hope,Shimron Hetmyer,96.5,1169.0
SQL_Lvl_2_Team_2,"Roston Chase, Shai Hope, Shimron Hetmyer, Matthew Forde, Maheesh Theekshana, Imran Tahir, Shamar Joseph, Ackeem Auguste, Shadley van Schalkwyk, Mohammad Nabi, Charith Asalanka",Shimron Hetmyer,Charith Asalanka,95.5,1172.0
SQL_Lvl_2_Team_3,"Roston Chase, Tim Seifert, Shai Hope, Shimron Hetmyer, Maheesh Theekshana, Dwaine Pretorius, Imran Tahir, Shamar Joseph, Ackeem Auguste, Mohammad Nabi, Charith Asalanka",Charith Asalanka,Shimron Hetmyer,96.5,1176.0
SQL_Lvl_3_Team_1,"Tim Seifert, Shai Hope, Shimron Hetmyer, Romario Shepherd, Matthew Forde, Noor Ahmad, Shamar Joseph, Khary Pierre, Ackeem Auguste, Shadley van Schalkwyk, Mohammad Nabi",Shai Hope,Shimron Hetmyer,95.0,1137.0
SQL_Lvl_3_Team_2,"Roston Chase, Tim Seifert, Shai Hope, Shimron Hetmyer, Matthew Forde, Noor Ahmad, Imran Tahir, Ackeem Auguste, Shadley van Schalkwyk, Mohammad Nabi, Charith Asalanka",Charith Asalanka,Shimron Hetmyer,95.5,1166.0
SQL_Lvl_3_Team_3,"Roston Chase, Tim Seifert, Shimron Hetmyer, Matthew Forde, Maheesh Theekshana, Dwaine Pretorius, Imran Tahir, Shamar Joseph, Ackeem Auguste, Shadley van Schalkwyk, Charith Asalanka",Ackeem Auguste,Shimron Hetmyer,95.0,1155.0
SQL_Lvl_4_Team_1,"Roston Chase, Shai Hope, Shimron Hetmyer, Romario Shepherd, Matthew Forde, Dwaine Pretorius, Imran Tahir, Shamar Joseph, Khary Pierre, Ackeem Auguste, Charith Asalanka",Shai Hope,Charith Asalanka,95.5,1153.0
SQL_Lvl_4_Team_2,"Shai Hope, Shimron Hetmyer, Romario Shepherd, Matthew Forde, Maheesh Theekshana, Dwaine Pretorius, Shamar Joseph, Khary Pierre, Ackeem Auguste, Shadley van Schalkwyk, Mohammad Nabi",Shimron Hetmyer,Dwaine Pretorius,95.0,1141.5
SQL_Lvl_4_Team_3,"Roston Chase, Tim Seifert, Shai Hope, Shimron Hetmyer, Matthew Forde, Maheesh Theekshana, Noor Ahmad, Khary Pierre, Ackeem Auguste, Shadley van Schalkwyk, Charith Asalanka",Ackeem Auguste,Roston Chase,95.5,1148.0
SQL_Lvl_5_Team_1,"Tim Seifert, Shai Hope, Shimron Hetmyer, Romario Shepherd, Matthew Forde, Noor Ahmad, Dwaine Pretorius, Khary Pierre, Ackeem Auguste, Mohammad Nabi, Charith Asalanka",Charith Asalanka,Shimron Hetmyer,95.5,1166.0
SQL_Lvl_5_Team_2,"Tim Seifert, Shai Hope, Shimron Hetmyer, Romario Shepherd, Matthew Forde, Maheesh Theekshana, Dwaine Pretorius, Khary Pierre, Ackeem Auguste, Shadley van Schalkwyk, Charith Asalanka",Shai Hope,Shimron Hetmyer,95.5,1159.0
SQL_Lvl_5_Team_3,"Tim Seifert, Shai Hope, Shimron Hetmyer, Matthew Forde, Maheesh Theekshana, Noor Ahmad, Shamar Joseph, Khary Pierre, Ackeem Auguste, Mohammad Nabi, Charith Asalanka",Tim Seifert,Maheesh Theekshana,95.5,1142.0
