Lineup_ID,Players,Captain,Vice_Captain,Total_Credits,Projected_Points
TNPL_DD_vs_TGC_Lvl_1_Team_1,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Sarath Kumar C, Subodh Bhati, Varun Chakaravarthy, Wankhade Sanjay, Nidhish S Rajagopal, E Easwaran, P Saravana Kumar, Antony D Das",Varun Chakaravarthy,Baba Indrajith,95.5,1391.0
TNPL_DD_vs_TGC_Lvl_1_Team_2,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Sarath Kumar C, Subodh Bhati, Varun Chakaravarthy, G Kishoor, Wankhade Sanjay, Nidhish S Rajagopal, Mohammed, P Saravana Kumar",Subodh Bhati,Varun Chakaravarthy,95.0,1388.0
TNPL_DD_vs_TGC_Lvl_1_Team_3,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Subodh Bhati, Varun Chakaravarthy, G Kishoor, Wankhade Sanjay, Nidhish S Rajagopal, Aseef R, P Saravana Kumar, Antony D Das",Baba Indrajith,Varun Chakaravarthy,95.0,1376.3
TNPL_DD_vs_TGC_Lvl_2_Team_1,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Sarath Kumar C, Subodh Bhati, Varun Chakaravarthy, Wankhade Sanjay, Jafar Jamal, Nidhish S Rajagopal, Mohammed, Antony D Das",Baba Indrajith,Varun Chakaravarthy,95.0,1367.4
TNPL_DD_vs_TGC_Lvl_2_Team_2,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Subodh Bhati, Varun Chakaravarthy, G Kishoor, Jafar Jamal, Nidhish S Rajagopal, E Easwaran, Aseef R, Antony D Das",Varun Chakaravarthy,Ravichandran Ashwin,94.5,1370.1
TNPL_DD_vs_TGC_Lvl_2_Team_3,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Sarath Kumar C, Subodh Bhati, Varun Chakaravarthy, P Vignesh, Jafar Jamal, Nidhish S Rajagopal, Mohammed, P Saravana Kumar",Ravichandran Ashwin,Varun Chakaravarthy,94.5,1377.0
TNPL_DD_vs_TGC_Lvl_3_Team_1,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Subodh Bhati, Varun Chakaravarthy, P Vignesh, Wankhade Sanjay, Nidhish S Rajagopal, E Easwaran, Mohammed, Aseef R",Subodh Bhati,Ravichandran Ashwin,95.0,1352.4
TNPL_DD_vs_TGC_Lvl_3_Team_2,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Subodh Bhati, Varun Chakaravarthy, Wankhade Sanjay, Nidhish S Rajagopal, E Easwaran, Aseef R, P Saravana Kumar, Silambarasan",Nidhish S Rajagopal,Varun Chakaravarthy,95.0,1355.8
TNPL_DD_vs_TGC_Lvl_3_Team_3,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Sarath Kumar C, Varun Chakaravarthy, G Kishoor, Wankhade Sanjay, Jafar Jamal, Nidhish S Rajagopal, Priyank Narang, P Saravana Kumar",Ravichandran Ashwin,Varun Chakaravarthy,94.0,1340.6
TNPL_DD_vs_TGC_Lvl_4_Team_1,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Vimal Khumar, Sarath Kumar C, Subodh Bhati, Varun Chakaravarthy, G Kishoor, Nidhish S Rajagopal, P Saravana Kumar, Silambarasan",Subodh Bhati,Varun Chakaravarthy,94.0,1363.7
TNPL_DD_vs_TGC_Lvl_4_Team_2,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Sarath Kumar C, Subodh Bhati, Varun Chakaravarthy, G Kishoor, Wankhade Sanjay, E Easwaran, P Saravana Kumar, K Easwaran",Varun Chakaravarthy,Subodh Bhati,94.0,1354.5
TNPL_DD_vs_TGC_Lvl_4_Team_3,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Sarath Kumar C, Subodh Bhati, Varun Chakaravarthy, P Vignesh, G Kishoor, Nidhish S Rajagopal, E Easwaran, Silambarasan",Nidhish S Rajagopal,Ravichandran Ashwin,94.0,1327.7
TNPL_DD_vs_TGC_Lvl_5_Team_1,"Ravichandran Ashwin, Sarath Kumar C, Subodh Bhati, Varun Chakaravarthy, P Vignesh, G Kishoor, Boopathi Kumar, Wankhade Sanjay, Nidhish S Rajagopal, E Easwaran, Antony D Das",Ravichandran Ashwin,Subodh Bhati,93.0,1286.7
TNPL_DD_vs_TGC_Lvl_5_Team_2,"Ravichandran Ashwin, Shivam Singh, Vimal Khumar, Varun Chakaravarthy, G Kishoor, Nidhish S Rajagopal, E Easwaran, Priyank Narang, Aseef R, P Saravana Kumar, Antony D Das",Varun Chakaravarthy,Ravichandran Ashwin,93.5,1302.6
TNPL_DD_vs_TGC_Lvl_5_Team_3,"Ravichandran Ashwin, Baba Indrajith, Shivam Singh, Sarath Kumar C, Subodh Bhati, Varun Chakaravarthy, Wankhade Sanjay, E Easwaran, Priyank Narang, Mohammed, P Saravana Kumar",Shivam Singh,Varun Chakaravarthy,94.5,1332.1
