player_name,team,role,credits,projected_points,ownership,is_playing
Paul Stirling,BEL,BAT,8.0,76.0,52.3,1
Tim Tector,BEL,BAT,8.0,92.4,18.6,1
Devon Conway,BEL,BAT,8.5,87.0,3.1,1
Lorcan Tucker,BEL,WK,8.5,104.1,28.9,1
Mark Chapman,BEL,BAT,9.0,84.8,33.0,1
Glenn Maxwell,BEL,AR,9.0,95.0,22.1,1
Chris Jordan,BEL,BOWL,9.5,64.8,6.8,1
Mark Adair,BEL,BOWL,8.0,113.6,30.7,1
Fred Klaassen,BEL,BOWL,8.0,71.5,16.2,1
Matthew Humphreys,BEL,BOWL,8.5,57.7,28.2,1
Saurabh Netravalkar,BEL,BOWL,9.0,76.6,5.8,1
David Miller,BEL,BAT,8.5,75.4,30.7,1
Crishan Kalugamage,BEL,AR,9.0,74.7,3.3,1
Harry Manenti,BEL,AR,8.5,108.9,5.5,1
Gavin Hoey,BEL,AR,8.5,93.5,34.6,1
Zainullah Ihsan,BEL,AR,8.5,124.3,20.4,1
Alexander Roy,BEL,BOWL,8.5,63.1,48.9,1
Michael Levitt,ROT,BAT,7.5,70.5,28.4,1
Faf du Plessis,ROT,BAT,8.5,84.0,47.6,1
Ben McDermott,ROT,BAT,8.0,91.2,28.9,1
Heinrich Klaasen,ROT,WK,9.0,95.5,32.9,1
Ben Manenti,ROT,AR,9.5,109.7,58.7,1
Saqib Zulfiqar,ROT,AR,9.0,96.2,12.8,1
David Wiese,ROT,AR,8.0,70.5,19.0,1
Roelof van der Merwe,ROT,AR,9.0,120.0,3.2,1
Logan van Beek,ROT,AR,9.0,90.0,40.3,1
Anrich Nortje,ROT,BOWL,9.0,77.4,36.3,1
Jai Moondra,ROT,BOWL,8.5,113.8,29.7,1
Aneurin Donald,ROT,WK,9.0,54.2,30.3,1
Shubham Ranjane,ROT,AR,9.0,92.1,55.8,1
Vikramjit Singh,ROT,AR,9.0,77.6,39.0,1
Jasper Davidson,ROT,BOWL,9.0,107.0,52.4,1
Ryan Klein,ROT,BOWL,7.5,84.3,30.8,1
