player_name,team,role,credits,projected_points,ownership,is_playing,adjusted_pts,ceiling_pts,Multiplier
Jai Moondra,ROT,BOWL,8.5,113.8,29.7,1,109.82,153.748,Base
Roelof van der Merwe,ROT,AR,9.0,120.0,3.2,1,115.81,144.7625,Base
Harry Manenti,BEL,AR,8.5,108.9,5.5,1,113.97,142.4625,Base
Lorcan Tucker,BEL,WK,8.5,104.1,28.9,1,108.95,136.1875,Base
Glenn Maxwell,BEL,AR,9.0,95.0,22.1,1,99.42,124.275,Base
Tim Tector,BEL,BAT,8.0,92.4,18.6,1,96.7,120.875,Base
Saqib Zulfiqar,ROT,AR,9.0,96.2,12.8,1,92.84,116.05000000000001,Base
Devon Conway,BEL,BAT,8.5,87.0,3.1,1,91.05,113.8125,Base
Crishan Kalugamage,BEL,AR,9.0,74.7,3.3,1,78.18,97.72500000000001,Base
Mark Adair,BEL,BOWL,8.0,113.6,30.7,1,118.89,166.446,Captain (2x)
Zainullah Ihsan,BEL,AR,8.5,124.3,20.4,1,130.09,162.6125,VC (1.5x)
