player_name,team,role,credits,projected_points,ownership,is_playing,adjusted_pts,Multiplier
Roelof van der Merwe,ROT,AR,9.0,120.0,3.2,1,115.81,Base
Harry Manenti,BEL,AR,8.5,108.9,5.5,1,113.97,Base
Jai Moondra,ROT,BOWL,8.5,113.8,29.7,1,109.82,Base
Lorcan Tucker,BEL,WK,8.5,104.1,28.9,1,108.95,Base
Ben Manenti,ROT,AR,9.5,109.7,58.7,1,105.87,Base
Jasper Davidson,ROT,BOWL,9.0,107.0,52.4,1,103.26,Base
Glenn Maxwell,BEL,AR,9.0,95.0,22.1,1,99.42,Base
Gavin Hoey,BEL,AR,8.5,93.5,34.6,1,97.85,Base
Tim Tector,BEL,BAT,8.0,92.4,18.6,1,96.7,Base
Zainullah Ihsan,BEL,AR,8.5,124.3,20.4,1,130.09,Captain (2x)
Mark Adair,BEL,BOWL,8.0,113.6,30.7,1,118.89,VC (1.5x)
