player_name,team,role,credits,projected_points,ownership,is_playing
Emilio Gay,E,BAT,8.5,45.0,15.0,1
James Sales,E,BAT,8.5,45.0,15.0,1
Joe Root,E,BAT,8.5,45.0,15.0,1
Luc Benkenstein,E,BAT,8.5,45.0,15.0,1
Ben Duckett,E,BAT,8.5,45.0,15.0,1
Ollie Pope,E,WK,8.5,45.0,15.0,1
Noah Thain,E,BOWL,8.5,45.0,15.0,1
Jofra Archer,E,BOWL,8.5,45.0,15.0,1
Sam Cook,E,BOWL,8.5,45.0,15.0,1
Caleb Falconer,E,AR,8.5,45.0,15.0,1
Ollie Robinson,E,BOWL,8.5,45.0,15.0,1
Harry Brook,E,BAT,8.5,45.0,15.0,1
Matthew Fisher,E,BOWL,8.5,45.0,15.0,1
James Rew,E,WK,8.5,45.0,15.0,1
Jordan Cox,E,WK,8.5,45.0,15.0,1
Josh Hull,E,BOWL,8.5,45.0,15.0,1
Jamie Smith,E,WK,8.5,45.0,15.0,1
Dan Lawrence,E,BAT,8.5,45.0,15.0,1
Nathan Gilchrist,E,BOWL,8.5,45.0,15.0,1
Josh Tongue,E,BOWL,8.5,45.0,15.0,1
Gus Atkinson,E,BOWL,8.5,45.0,15.0,1
Manny Lumsden,E,BOWL,8.5,45.0,15.0,1
Shoaib Bashir,E,BOWL,8.5,45.0,15.0,1
Saif Zaib,E,BAT,8.5,45.0,15.0,1
Charlie Tear,E,WK,8.5,45.0,15.0,1
Brydon Carse,E,BOWL,8.5,45.0,15.0,1
Tom Haines,E,BAT,8.5,45.0,15.0,1
Ghazi Ghori,P,WK,8.5,45.0,15.0,1
Ali Usman,P,AR,8.5,45.0,15.0,1
Shan Masood,P,BAT,8.5,45.0,15.0,1
Mohammad Ali,P,BOWL,8.5,45.0,15.0,1
Saud Shakeel,P,BAT,8.5,45.0,15.0,1
Ubaid Shah,P,BOWL,8.5,45.0,15.0,1
Khurram Shahzad,P,BOWL,8.5,45.0,15.0,1
Babar Azam,P,BAT,8.5,45.0,15.0,1
Awais Zafar,P,AR,8.5,45.0,15.0,1
Imam-ul-Haq,P,BAT,8.5,45.0,15.0,1
Abdullah Shafique,P,BAT,8.5,45.0,15.0,1
Mohammad Rizwan,P,WK,8.5,45.0,15.0,1
Azan Awais,P,BAT,8.5,45.0,15.0,1
Abdullah Fazal,P,AR,8.5,45.0,15.0,1
Mohammad Abbas,P,BOWL,8.5,45.0,15.0,1
Sajid Khan,P,BOWL,8.5,45.0,15.0,1
Salman Agha,P,BAT,8.5,45.0,15.0,1
Aamer Jamal,P,BOWL,8.5,45.0,15.0,1
