player_name,team,role,credits,projected_points,ownership,is_playing
George Munsey,GLA,BAT,7.5,94.1,41.2,1
Jason Roy,GLA,BAT,8.5,91.7,35.8,1
Matthew Cross,GLA,WK,8.5,69.1,39.2,1
Liam Livingstone,GLA,AR,8.5,84.0,17.4,1
Moises Henriques,GLA,AR,8.0,115.7,55.5,1
Richie Berrington,GLA,BAT,7.5,71.9,33.8,1
Michael Leask,GLA,AR,9.0,113.5,28.1,1
Keshav Maharaj,GLA,BOWL,8.0,76.0,44.9,1
Ali Khan,GLA,BOWL,9.0,111.6,40.3,1
Paul van Meekeren,GLA,BOWL,9.0,90.6,38.9,1
Lungi Ngidi,GLA,BOWL,9.0,79.8,50.6,1
Liam Naylor,GLA,AR,8.0,89.4,56.1,1
Oliver Davidson,GLA,AR,9.0,81.8,51.9,1
Brad Currie,GLA,BOWL,8.5,77.4,41.4,1
James Neesham,GLA,AR,8.5,75.5,22.1,1
Harry Tector,DUB,BAT,9.5,87.9,15.7,1
Muhammad Waseem,DUB,BAT,9.0,86.9,36.7,1
Sanjay Krishnamurthi,DUB,AR,8.5,117.7,36.9,1
Daryl Mitchell,DUB,AR,8.5,82.3,9.4,1
Vijay Shankar,DUB,AR,9.5,119.7,48.5,1
Benjamin Calitz,DUB,WK,9.5,94.8,22.8,1
George Dockrell,DUB,AR,8.5,78.7,41.5,1
Ravichandran Ashwin,DUB,AR,9.0,74.3,44.9,1
Chris Wood,DUB,BOWL,7.5,110.6,8.6,1
Joshua Little,DUB,BOWL,8.5,82.6,28.9,1
Matthew Hollard,DUB,BOWL,7.5,93.9,33.5,1
Noah Croes,DUB,WK,8.0,54.5,14.5,1
Peter Hatzoglou,DUB,BOWL,8.0,90.4,5.8,1
Chris Greaves,DUB,AR,8.5,77.5,2.8,1
Harmeet Singh,DUB,BOWL,8.0,70.0,56.0,1
James Vince,DUB,BAT,8.5,69.9,24.8,1
Craig Young,DUB,BOWL,8.0,62.7,1.7,1
