Player,Role,Team,Salary,Projection
George Munsey,BAT,Glasgow Cosmics,9.0,45.0
Jason Roy,BAT,Glasgow Cosmics,9.5,48.0
Matthew Cross,WK,Glasgow Cosmics,8.5,42.0
Liam Livingstone,ALL,Glasgow Cosmics,10.5,65.0
Moises Henriques,ALL,Glasgow Cosmics,9.0,44.0
Richie Berrington,BAT,Glasgow Cosmics,8.5,40.0
Michael Leask,ALL,Glasgow Cosmics,8.5,40.0
Keshav Maharaj,BOWL,Glasgow Cosmics,8.5,45.0
Ali Khan,BOWL,Glasgow Cosmics,8.0,38.0
Paul van Meekeren,BOWL,Glasgow Cosmics,8.0,35.0
Lungi Ngidi,BOWL,Glasgow Cosmics,9.0,46.0
Harry Tector,BAT,Dublin Guardians,9.0,46.0
Muhammad Waseem,BAT,Dublin Guardians,9.0,44.0
Sanjay Krishnamurthi,BAT,Dublin Guardians,8.0,38.0
Daryl Mitchell,ALL,Dublin Guardians,9.5,48.0
Vijay Shankar,ALL,Dublin Guardians,8.5,40.0
Benjamin Calitz,WK,Dublin Guardians,8.5,42.0
George Dockrell,ALL,Dublin Guardians,8.5,45.0
Ravichandran Ashwin,ALL,Dublin Guardians,9.5,50.0
Chris Wood,BOWL,Dublin Guardians,8.0,40.0
Joshua Little,BOWL,Dublin Guardians,8.5,40.0
Craig Young,BOWL,Dublin Guardians,8.0,38.0
