Player,Team,Role,Salary,Base_Projection,Vegas_Odds,Selected_Status,Adjusted_Projection
Smriti Mandhana,INDW,BAT,53.5,71.25,2.6,PLAYING,54.78
Shafali Verma,INDW,BAT,50.5,62.14,2.42,PLAYING,49.36
Harmanpreet Kaur,INDW,BAT,52.0,50.46,2.73,PLAYING,37.92
Bharti Fulmali,INDW,BAT,47.5,51.92,1.86,PLAYING,45.99
Deepti Sharma,INDW,AR,46.0,81.66,2.48,PLAYING,64.16
Richa Ghosh,INDW,WK,47.0,79.23,1.92,PLAYING,66.02
Arundhati Reddy,INDW,BOWL,50.5,57.94,2.06,PLAYING,46.95
Kranti Gaud,INDW,BOWL,45.5,65.22,2.41,PLAYING,49.43
Shree Charani,INDW,BOWL,46.5,66.3,2.27,PLAYING,51.58
Nandni Sharma,INDW,AR,53.5,85.22,2.52,PLAYING,66.47
Renuka Singh Thakur,INDW,BOWL,54.0,67.33,1.81,PLAYING,57.39
Pratika Rawal,INDW,BAT,52.0,85.98,2.11,PLAYING,72.44
Radha Yadav,INDW,BOWL,47.5,86.51,2.01,PLAYING,70.8
Gunalan Kamalini,INDW,AR,45.5,85.98,1.81,PLAYING,76.95
Prema Rawat,INDW,BOWL,53.5,58.12,2.16,PLAYING,46.18
Aphisara Suwanchonrathi,THAIW,BAT,47.5,75.1,2.76,PLAYING,53.46
Phannita Maya,THAIW,BAT,48.5,56.87,4.5,PLAYING,31.09
Nannapat Koncharoenkai,THAIW,WK,40.0,54.46,4.04,PLAYING,31.72
Naruemol Chaiwai,THAIW,BAT,39.0,48.76,4.01,PLAYING,28.52
Chanida Sutthiruang,THAIW,AR,41.0,53.62,2.22,PLAYING,42.12
Naomi Hamilton,THAIW,BAT,43.0,68.08,3.39,PLAYING,43.68
Suleeporn Laomi,THAIW,BOWL,42.0,64.58,3.22,PLAYING,43.85
Nannaphat Chaihan,THAIW,BAT,39.0,77.29,3.28,PLAYING,50.46
Sunida Chaturongrattana,THAIW,BOWL,40.0,75.86,2.2,PLAYING,61.6
Onnicha Kamchomphu,THAIW,AR,44.5,49.32,3.13,PLAYING,32.99
Thipatcha Putthawong,THAIW,BOWL,45.0,67.38,4.12,PLAYING,39.96
Koranit Suwanchonrathi,THAIW,BOWL,40.0,64.02,2.39,PLAYING,50.16
Chayanisa Phengpaen,THAIW,BAT,44.5,51.72,3.13,PLAYING,34.59
Thanrada Seesawan,THAIW,BOWL,46.5,56.65,3.27,PLAYING,38.15
Nattakan Chantam,THAIW,BAT,39.0,60.37,4.38,PLAYING,33.54
