Portfolio ID,Captain (2x),Vice-Captain (1.5x),Credits,Squad Players
Team 1,Jasprit Bumrah,CSK AR 1,100.0,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, CSK Pace 1, MI Bat 2, CSK Bat 2, CSK Spin 1, CSK WK 1"
Team 2,Jasprit Bumrah,CSK AR 1,99.5,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, CSK Pace 1, MI Bat 2, CSK Spin 1, CSK WK 1, MI Spin 1"
Team 3,Jasprit Bumrah,CSK AR 1,100.0,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, CSK Pace 1, MI Bat 2, CSK Bat 2, CSK Spin 1, MI Spin 1"
Team 4,Jasprit Bumrah,CSK AR 1,99.5,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, CSK Pace 1, CSK Bat 2, CSK Spin 1, CSK WK 1, MI Spin 1"
Team 5,Jasprit Bumrah,CSK AR 1,100.0,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, CSK Pace 1, MI Bat 2, CSK Bat 2, CSK WK 1, MI Spin 1"
Team 6,Jasprit Bumrah,CSK AR 1,100.0,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, CSK Pace 1, MI Bat 2, CSK Bat 2, CSK WK 1, MI Spin 1"
Team 7,Jasprit Bumrah,CSK AR 1,99.5,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, MI Bat 2, CSK Bat 2, CSK Spin 1, CSK WK 1, MI Spin 1"
Team 8,Jasprit Bumrah,CSK AR 1,99.5,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, CSK Pace 1, CSK Bat 2, CSK Spin 1, CSK WK 1, MI Spin 1"
Team 9,Jasprit Bumrah,CSK AR 1,100.0,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, CSK Pace 1, MI Bat 2, CSK Bat 2, CSK Spin 1, CSK WK 1"
Team 10,Jasprit Bumrah,CSK AR 1,99.5,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, CSK Pace 1, MI Bat 2, CSK Spin 1, CSK WK 1, MI Spin 1"
Team 11,Jasprit Bumrah,CSK AR 1,100.0,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, CSK Pace 1, MI Bat 2, CSK Bat 2, CSK Spin 1, MI Spin 1"
Team 12,Jasprit Bumrah,CSK AR 1,99.0,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, MI WK 1, CSK Pace 1, MI Bat 2, CSK Bat 2, CSK Spin 1, CSK WK 1, MI Spin 1"
Team 13,Jasprit Bumrah,CSK AR 1,99.5,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, MI Bat 2, CSK Bat 2, CSK Spin 1, CSK WK 1, MI Spin 1"
Team 14,Jasprit Bumrah,CSK AR 1,99.5,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, CSK Pace 1, MI Bat 2, CSK Bat 2, CSK Spin 1, CSK WK 1, MI Spin 1"
Team 15,Jasprit Bumrah,CSK AR 1,100.0,"Jasprit Bumrah, CSK AR 1, MI AR 1, MI Bat 1, CSK Bat 1, MI WK 1, CSK Pace 1, MI Bat 2, CSK Bat 2, CSK Spin 1, CSK WK 1"
