Venue_ID,Venue_Name,Country,Pitch_Profile,Meteo_Multiplier,Favored_Role
1,"MA Chidambaram Stadium, Chennai",India,Spin-Friendly / Dry Surface,1.3,SPIN
2,"Wankhede Stadium, Mumbai",India,Batting Paradise / Pace Bounce,1.2,BAT
3,"Arun Jaitley Stadium, Delhi",India,Flat Track / Short Boundaries,1.15,BAT
4,"Eden Gardens, Kolkata",India,Balanced / True Bounce & Spin Assist,1.2,AR
5,"Narendra Modi Stadium, Ahmedabad",India,Large Outfield / Balanced Seam & Spin,1.15,AR
6,"M. Chinnaswamy Stadium, Bengaluru",India,High Altitude / Extreme Batting Paradise,1.25,BAT
7,"Rajiv Gandhi International Stadium, Hyderabad",India,Flat Batting Deck / High Scoring,1.15,BAT
8,"HPCA Stadium, Dharamshala",India,High Altitude / Seam & Swing,1.35,PACE
9,"Headingley Cricket Ground, Leeds",England,Overcast Seam & Swing,1.35,PACE
10,"Lord's Cricket Ground, London",England,Traditional Slope / Early Seam Movement,1.3,PACE
11,"The Oval, London",England,True Bounce / Batting Friendly & Reverse Swing,1.2,BAT
12,"Edgbaston, Birmingham",England,Aggressive Seam & Late Reverse,1.25,PACE
13,"Old Trafford, Manchester",England,Pace & Bounce with Late Spin,1.2,AR
14,"Trent Bridge, Nottingham",England,High-Scoring / Early Swing Assist,1.2,BAT
15,"Melbourne Cricket Ground (MCG), Melbourne",Australia,Balanced Track / Extra Bounce,1.2,AR
16,"Sydney Cricket Ground (SCG), Sydney",Australia,Turn & Spin Assist / Tactical Scoring,1.25,SPIN
17,"Adelaide Oval, Adelaide",Australia,Batting Friendly / Evening Seam Movement,1.2,BAT
18,"Optus Stadium, Perth",Australia,Extreme Pace & Steep Bounce,1.35,PACE
19,"The Gabba, Brisbane",Australia,Hard Deck / True Pace & Carry,1.3,PACE
20,"Daren Sammy National Cricket Stadium, Saint Lucia",West Indies,Balanced Surface / Batting Friendly,1.15,BAT
21,"Kensington Oval, Bridgetown, Barbados",West Indies,True Pace & Bounce with Wind Assist,1.25,PACE
22,"Providence Stadium, Georgetown, Guyana",West Indies,Low & Slow / Heavy Spin Turning Track,1.35,SPIN
23,"Brian Lara Cricket Academy, Tarouba, Trinidad",West Indies,Variable Bounce / Mystery Spin Dominant,1.3,SPIN
24,"Wanderers Stadium, Johannesburg",South Africa,High Altitude / High Pace & Bounce,1.35,PACE
25,"Newlands Cricket Ground, Cape Town",South Africa,Seam & Late Spin Assist,1.25,AR
26,"Kingsmead, Durban",South Africa,Coastal Moisture / Heavy Swing,1.3,PACE
27,"SuperSport Park, Centurion",South Africa,Steep Bounce & High Pace,1.3,PACE
28,"Dubai International Cricket Stadium, Dubai",UAE,Balanced Deck / Heavy Evening Dew,1.2,BAT
29,"Sharjah Cricket Stadium, Sharjah",UAE,Short Boundaries / Extreme Batting Paradise,1.25,BAT
30,"Sheikh Zayed Cricket Stadium, Abu Dhabi",UAE,Large Boundaries / Pace & Spin Control,1.2,AR
31,"R. Premadasa Stadium, Colombo",Sri Lanka,Slow Turner / Spin Dominant,1.35,SPIN
32,"Pallekele International Stadium, Kandy",Sri Lanka,Early Seam / Middle Overs Spin,1.25,AR
33,"Gaddafi Stadium, Lahore",Pakistan,Flat Batting Paradise / Death Reverse Swing,1.2,BAT
34,"National Bank Stadium, Karachi",Pakistan,Dry Deck / Variable Reverse & Spin,1.25,AR
35,"Grand Prairie Stadium, Dallas",USA,Hard Pitch / High Scoring T20 Track,1.2,BAT
36,"Central Broward Regional Park, Florida",USA,True Bounce / High-Scoring Short Boundaries,1.2,BAT
