Ledger_ID,Tournament_Name,Match_Name,Teams_Generated,Total_Investment_INR,Total_Return_INR,Execution_Date
1,Global Syndicate,Saint Lucia Kings vs Guyana Amazon Warriors,15,735.0,0.0,2026-08-19 18:04:51
eb7f98bf,Caribbean Premier League,Antigua & Barbuda Falcons vs St Kitts & Nevis Patriots,15,735.0,0.0,2026-08-20 12:19:06
fddc730f,Caribbean Premier League,Antigua & Barbuda Falcons vs St Kitts & Nevis Patriots,15,735.0,0.0,2026-08-20 12:47:29
f790b255,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 13:45:53
613c217e,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 15:01:34
fe10c40b,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 15:12:46
1c69a2e1,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 15:21:45
cb3517f3,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 15:22:22
4765a925,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 15:23:35
40a59876,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 15:36:00
fd8fc02d,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 15:36:50
7ecdabfb,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 15:44:12
a9e4e0ce,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 17:29:16
055924db,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 17:34:00
88029a0e,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 17:38:23
e4c8d80c,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 17:39:57
3e0db63d,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 20:02:29
242f55b9,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 20:07:19
c164c760,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 20:15:18
bedf3886,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 20:22:58
233a3d5b,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 20:44:34
4cdbc60a,Indian Premier League (IPL),CSK vs MI,15,735.0,0.0,2026-08-20 20:47:31
