Player,Team,Role,Salary,Projection
Heinrich Klaasen,ROT,WK,10.5,62.0
Faf du Plessis,ROT,BAT,9.5,50.0
Ben McDermott,ROT,WK,8.5,42.0
Aneurin Donald,ROT,BAT,8.0,34.0
David Wiese,ROT,ALL,9.0,48.0
Roelof van der Merwe,ROT,ALL,8.5,40.0
Logan van Beek,ROT,ALL,8.5,43.0
Anrich Nortje,ROT,BOWL,9.5,49.0
Ryan Klein,ROT,BOWL,8.0,35.0
Jasper Davidson,ROT,BOWL,7.5,28.0
Saqib Zulfiqar,ROT,ALL,8.0,0.0
Paul Stirling,BEL,BAT,9.5,48.0
Harry Tector,BEL,BAT,9.0,46.0
Lorcan Tucker,BEL,WK,8.5,42.0
Curtis Campher,BEL,ALL,9.0,52.0
Mark Adair,BEL,ALL,9.5,55.0
Gareth Delany,BEL,ALL,8.0,36.0
Ross Adair,BEL,BAT,7.5,0.0
Barry McCarthy,BEL,BOWL,8.5,40.0
Craig Young,BEL,BOWL,8.0,38.0
Matthew Humphreys,BEL,BOWL,7.5,32.0
Neil Rock,BEL,WK,7.5,0.0
