player_name,role,credits,projected_points,is_playing
Malan Kruger,BAT,7.5,35.5,1
Junior Taanyanda,AR,8.0,65.6,1
Gerhard Erasmus,AR,8.0,62.4,1
Jan Frylinck,BOWL,9.5,73.0,1
Louren Steenkamp,BAT,8.0,44.3,1
Alexander Volschenk,AR,7.5,40.9,1
Zane Green,WK,8.0,61.5,1
JJ Smit,BOWL,9.0,44.2,1
Michael van Lingen,BAT,8.0,56.0,1
Bernard Scholtz,AR,7.5,74.9,1
Ruben Trumpelmann,AR,9.0,39.7,1
Jack Brassell,BOWL,8.0,48.7,1
Max Heingo,BAT,8.5,48.2,1
Waldo Smith,AR,8.0,58.9,1
Jan Balt,AR,8.0,43.4,1
Jan Nicol Loftie-Eaton,BOWL,9.5,51.7,1
Tony de Zorzi,BAT,7.5,37.4,1
Lhuan-dre Pretorius,WK,8.5,68.5,1
Rubin Hermann,AR,8.0,40.4,1
Jordan Hermann,BOWL,9.0,68.5,1
Dewald Brevis,BAT,9.5,36.2,1
Jason Smith,AR,8.0,69.7,1
Prenelan Subrayen,AR,9.0,43.3,1
Bjorn Fortuin,BOWL,8.0,64.2,1
Duan Jansen,BAT,8.0,48.2,1
Lutho Sipamla,AR,8.5,54.3,1
Kwena Maphaka,AR,8.5,48.4,1
Nqabayomzi Peter,BOWL,9.0,57.9,1
Eathan Bosch,BAT,8.5,60.9,1
Connor Esterhuizen,AR,7.5,73.5,1
Nqobani Mokoena,AR,8.5,66.6,1
