player_name,role,credits,projected_points,is_playing,projected,ceiling_ev,differential_bonus,Multiplier_Tag
Junior Taanyanda,AR,8.0,65.6,1,65.6,75.43999999999998,0.0,Base
Gerhard Erasmus,AR,8.0,62.4,1,62.4,71.75999999999999,0.0,Base
Jan Frylinck,BOWL,9.5,73.0,1,73.0,83.94999999999999,0.0,Base
Bernard Scholtz,AR,7.5,74.9,1,74.9,86.135,0.0,Captain (2x)
Lhuan-dre Pretorius,WK,8.5,68.5,1,68.5,78.77499999999999,0.0,Base
Jordan Hermann,BOWL,9.0,68.5,1,68.5,78.77499999999999,0.0,Base
Jason Smith,AR,8.0,69.7,1,69.7,80.155,0.0,Base
Bjorn Fortuin,BOWL,8.0,64.2,1,64.2,73.83,0.0,Base
Eathan Bosch,BAT,8.5,60.9,1,60.9,70.035,0.0,Base
Connor Esterhuizen,AR,7.5,73.5,1,73.5,84.52499999999999,0.0,Vice-Captain (1.5x)
Nqobani Mokoena,AR,8.5,66.6,1,66.6,76.58999999999999,0.0,Base
