player_name,role,credits,projected_points,is_playing
Sarah Bryce,WK,8.0,39.5,1
Darcey Carter,AR,8.0,56.8,1
Katherine Fraser,AR,9.0,44.1,1
Megan McColl,BOWL,8.0,65.5,1
Maryam Faisal,BAT,9.0,43.5,1
Niamh Robertson Jack,AR,8.0,41.5,1
Nayma Sheikh,AR,8.0,59.3,1
Isabella Watson,BOWL,8.0,36.1,1
Charlotte Nevard,BAT,9.0,37.8,1
Abtaha Maqsood,AR,8.5,74.4,1
Maisie Maceira,AR,8.0,62.9,1
Gabriella Fontenla,BOWL,9.5,42.1,1
Pippa Sproul,BAT,8.5,55.8,1
Rebecca McCrossan,AR,9.0,59.5,1
Ellen Watson,AR,7.5,40.3,1
Babette de Leede,WK,8.5,72.4,1
Sanya Khurana,BAT,8.5,60.3,1
Phebe Molkenboer,AR,9.5,38.1,1
Noa Mais,AR,8.5,71.4,1
Merel Dekeling,BOWL,9.5,64.0,1
Frederique Overdijk,BAT,8.0,51.7,1
Robine Rijke,AR,7.5,43.1,1
Myrthe van den Raad,AR,9.0,36.3,1
Silver Siegers,BOWL,9.0,49.9,1
Hannah Landheer,BAT,9.0,66.9,1
Caroline de Lange,AR,8.0,70.1,1
Lara Leemhuis,AR,8.5,44.2,1
Rosalie Lawrence,BOWL,8.0,65.7,1
