player_name,role,credits,projected_points,is_playing,projected,ceiling_ev,differential_bonus,Multiplier_Tag
Megan McColl,BOWL,8.0,65.5,1,65.5,75.32499999999999,0.0,Base
Abtaha Maqsood,AR,8.5,74.4,1,74.4,85.56,0.0,Captain (2x)
Maisie Maceira,AR,8.0,62.9,1,62.9,72.335,0.0,Base
Rebecca McCrossan,AR,9.0,59.5,1,59.5,68.425,0.0,Base
Babette de Leede,WK,8.5,72.4,1,72.4,83.26,0.0,Base
Sanya Khurana,BAT,8.5,60.3,1,60.3,69.34499999999998,0.0,Base
Noa Mais,AR,8.5,71.4,1,71.4,82.11,0.0,Vice-Captain (1.5x)
Merel Dekeling,BOWL,9.5,64.0,1,64.0,73.6,0.0,Base
Hannah Landheer,BAT,9.0,66.9,1,66.9,76.935,0.0,Base
Caroline de Lange,AR,8.0,70.1,1,70.1,80.61499999999998,0.0,Base
Rosalie Lawrence,BOWL,8.0,65.7,1,65.7,75.55499999999999,0.0,Base
