Player,Team,Role,Salary,Projection
Quinton de Kock,SA,WK,9.5,55.0
Reeza Hendricks,SA,BAT,8.5,42.0
Aiden Markram,SA,ALL,9.5,58.0
Heinrich Klaasen,SA,WK,9.0,48.0
David Miller,SA,BAT,8.5,40.0
Tristan Stubbs,SA,BAT,8.0,38.0
Marco Jansen,SA,ALL,9.0,52.0
Keshav Maharaj,SA,BOWL,8.5,45.0
Kagiso Rabada,SA,BOWL,9.0,50.0
Anrich Nortje,SA,BOWL,8.5,46.0
Tabraiz Shamsi,SA,BOWL,8.0,0.0
Sikandar Raza,ZIM,ALL,10.0,65.0
Craig Ervine,ZIM,BAT,8.5,40.0
Sean Williams,ZIM,ALL,9.0,48.0
Ryan Burl,ZIM,ALL,8.5,42.0
Clive Madande,ZIM,WK,8.0,35.0
Wessly Madhevere,ZIM,ALL,8.0,38.0
Luke Jongwe,ZIM,BOWL,7.5,0.0
Richard Ngarava,ZIM,BOWL,8.0,38.0
Blessing Muzarabani,ZIM,BOWL,8.5,42.0
Tendai Chatara,ZIM,BOWL,7.5,0.0
Wellington Masakadza,ZIM,BOWL,7.0,0.0
