player_name,role,credits,projected_points,is_playing
Phannita Maya,BAT,8.5,56.6,1
Aphisara Suwanchonrathi,AR,9.5,59.4,1
Nannapat Koncharoenkai,WK,8.0,61.1,1
Naruemol Chaiwai,BOWL,7.5,74.1,1
Chanida Sutthiruang,BAT,8.0,50.9,1
Nannaphat Chaihan,AR,9.0,74.6,1
Chayanisa Phengpaen,AR,9.5,35.3,0
Onnicha Kamchomphu,BOWL,8.0,74.7,1
Suleeporn Laomi,BAT,8.0,36.0,1
Sunida Chaturongrattana,AR,9.5,71.3,1
Thipatcha Putthawong,AR,9.0,56.2,1
Nattakan Chantam,BOWL,8.5,73.9,0
Koranit Suwanchonrathi,BAT,7.5,56.4,0
Thanrada Seesawan,AR,8.0,51.1,0
Naomi Hamilton,AR,8.5,67.2,1
Natasha Miles,BOWL,9.5,65.5,0
Mariko Hill,BAT,8.5,38.8,1
Yasmin Daswani,WK,7.5,60.5,1
Maryam Bibi,AR,8.5,59.5,1
Kary Chan,BOWL,8.5,40.2,1
Marina Lamplough,BAT,8.5,70.1,1
Alison Siu,AR,8.0,55.3,1
Iqra Sahar,AR,8.5,44.7,0
Joyleen Kaur,BOWL,7.5,39.7,1
Shanzeen Shahzad,BAT,9.5,51.4,1
Ruchitha Venkatesh,AR,9.5,47.0,1
Charlotte Chan,AR,9.0,60.7,1
Shing Chan Dorothea,BOWL,9.5,60.8,1
Kaur Mahekdeep,BAT,8.5,53.1,0
Hailey Wong,AR,7.5,55.8,0
