player_name,role,credits,projected_points,is_playing,projected,ceiling_ev,differential_bonus,Multiplier_Tag
Aphisara Suwanchonrathi,AR,9.5,59.4,1,59.4,68.30999999999999,0.0,Base
Nannapat Koncharoenkai,WK,8.0,61.1,1,61.1,70.265,0.0,Base
Naruemol Chaiwai,BOWL,7.5,74.1,1,74.1,85.21499999999999,0.0,Base
Nannaphat Chaihan,AR,9.0,74.6,1,74.6,85.78999999999999,0.0,Vice-Captain (1.5x)
Onnicha Kamchomphu,BOWL,8.0,74.7,1,74.7,85.905,0.0,Captain (2x)
Sunida Chaturongrattana,AR,9.5,71.3,1,71.3,81.99499999999999,0.0,Base
Naomi Hamilton,AR,8.5,67.2,1,67.2,77.28,0.0,Base
Maryam Bibi,AR,8.5,59.5,1,59.5,68.425,0.0,Base
Marina Lamplough,BAT,8.5,70.1,1,70.1,80.61499999999998,0.0,Base
Charlotte Chan,AR,9.0,60.7,1,60.7,69.80499999999999,0.0,Base
Shing Chan Dorothea,BOWL,9.5,60.8,1,60.8,69.91999999999999,0.0,Base
