player_id,name,team,role,credits,form_pts,status,projected_points,Multiplier,Final_EV
12,Mitchell Marsh,ADF,ar,9.0,410,Playing,150.8,,150.8
4,Logan van Beek,RTD,ar,8.5,310,Playing,140.6,C,281.2
9,David Wiese,RTD,ar,8.0,260,Playing,129.3,VC,193.95000000000002
16,Bas de Leede,ADF,ar,8.0,280,Playing,125.6,,125.6
11,Roelof van der Merwe,RTD,ar,7.5,245,Playing,121.3,,121.3
22,Michael Bracewell,ADF,ar,7.5,235,Playing,115.7,,115.7
13,Steve Smith,ADF,bat,9.0,360,Playing,110.9,,110.9
2,Heinrich Klaasen,RTD,wk,9.0,380,Playing,103.2,,103.2
5,Anrich Nortje,RTD,bowl,8.5,350,Playing,102.6,,102.6
1,F du Plessis,RTD,bat,9.0,340,Playing,100.3,,100.3
14,Tim David,ADF,bat,8.5,290,Playing,99.8,,99.8
