player_name,team,role,credits,projected_points,ownership,is_playing,adjusted_pts,ceiling_pts,Multiplier
Janani Thirukkumaran,UAE_W,BOWL,8.5,93.2,18.0,1,97.54,136.556,Base
Chamudi Praboda,SL_W,BOWL,8.0,100.6,21.2,1,97.09,135.926,Base
Sanjana Kavindi,SL_W,BOWL,9.5,98.2,22.4,1,94.77,132.678,Base
Kavisha Dilhari,SL_W,AR,9.0,109.5,35.1,1,105.67,132.0875,Base
Theertha Satish,UAE_W,WK,9.5,100.2,32.4,1,104.87,131.0875,Base
Siya Gokhale,UAE_W,AR,9.0,86.4,7.6,1,90.42,113.025,Base
Harshitha Samarawickrama,SL_W,BAT,8.0,89.0,17.9,1,85.89,107.3625,Base
Esha Oza,UAE_W,AR,8.0,75.5,1.9,1,79.02,98.77499999999999,Base
Chethana Vimukthi,SL_W,AR,9.0,71.6,8.0,1,69.1,86.375,Base
Vaishnave Mahesh,UAE_W,BOWL,9.0,109.3,3.0,1,114.39,160.146,Captain (2x)
Archara Supriya,UAE_W,BOWL,9.5,104.2,10.1,1,109.05,152.67,VC (1.5x)
