player_name,team,role,credits,projected_points,ownership,is_playing,adjusted_pts,Multiplier
Archara Supriya,UAE_W,BOWL,9.5,104.2,10.1,1,109.05,Base
Suraksha Kotte,UAE_W,BOWL,7.5,102.4,55.7,1,107.17,Base
Kavisha Dilhari,SL_W,AR,9.0,109.5,35.1,1,105.67,Base
Theertha Satish,UAE_W,WK,9.5,100.2,32.4,1,104.87,Base
Athige Silva,UAE_W,BOWL,9.0,97.2,59.1,1,101.73,Base
Kawya Kavindi,SL_W,BOWL,9.5,103.6,40.2,1,99.98,Base
Janani Thirukkumaran,UAE_W,BOWL,8.5,93.2,18.0,1,97.54,Base
Siya Gokhale,UAE_W,AR,9.0,86.4,7.6,1,90.42,Base
Vishmi Gunaratne,SL_W,BAT,8.5,89.5,43.1,1,86.37,Base
Mehul Pranav Kulkarni,UAE_W,AR,9.0,109.5,38.0,1,114.6,Captain (2x)
Vaishnave Mahesh,UAE_W,BOWL,9.0,109.3,3.0,1,114.39,VC (1.5x)
