player_name,team,role,credits,projected_points,ownership,is_playing
Brian Bennett,ZIM,BAT,9.0,78.7,22.5,1
Ben Curran,ZIM,BAT,9.0,77.1,10.2,1
Dion Myers,ZIM,BAT,8.5,98.3,4.1,1
Sikandar Raza,ZIM,AR,7.5,119.7,38.8,1
Ryan Burl,ZIM,AR,8.0,80.2,39.1,1
Wesley Madhavere,ZIM,AR,8.0,103.3,36.5,1
Tadiwanashe Marumani,ZIM,WK,9.0,70.3,49.2,1
Brad Evans,ZIM,AR,8.0,114.1,2.4,1
Newman Nyamhuri,ZIM,BOWL,9.0,89.7,35.7,1
Blessing Muzarabani,ZIM,BOWL,9.0,93.5,27.9,1
Wellington Masakadza,ZIM,BOWL,9.0,70.5,4.5,1
Kundai Matigimu,ZIM,BOWL,8.0,92.5,54.7,1
Innocent Kaia,ZIM,BAT,9.0,80.1,17.1,1
Tafadzwa Tsiga,ZIM,WK,9.5,82.7,21.2,1
Graeme Cremer,ZIM,BOWL,8.5,63.3,23.9,1
Jordan Hermann,SA,BAT,9.5,71.5,51.4,1
Lhuan-dre Pretorius,SA,WK,7.5,81.3,57.0,1
Tony de Zorzi,SA,BAT,9.0,79.2,30.8,1
Connor Esterhuizen,SA,WK,8.0,81.0,45.8,1
Dewald Brevis,SA,BAT,8.0,60.9,38.5,1
Rubin Hermann,SA,WK,7.5,54.8,31.0,1
Duan Jansen,SA,AR,9.0,120.4,26.0,1
Bjorn Fortuin,SA,BOWL,9.0,84.2,13.6,1
Nqobani Mokoena,SA,AR,8.0,118.0,17.0,1
Prenelan Subrayen,SA,AR,7.5,93.3,11.5,1
Lutho Sipamla,SA,BOWL,7.5,73.1,14.8,1
Eathan Bosch,SA,AR,8.5,94.5,1.3,1
Nqabayomzi Peter,SA,BOWL,9.0,110.8,35.2,1
Kwena Maphaka,SA,BOWL,8.0,93.3,3.2,1
