player_name,team,role,credits,projected_points,ownership,is_playing,adjusted_pts,ceiling_pts,Multiplier
Brad Evans,ZIM,AR,8.0,114.1,2.4,1,119.41,149.2625,Base
Duan Jansen,SA,AR,9.0,120.4,26.0,1,116.19,145.2375,Base
Nqobani Mokoena,SA,AR,8.0,118.0,17.0,1,113.88,142.35,Base
Dion Myers,ZIM,BAT,8.5,98.3,4.1,1,102.88,128.6,Base
Kwena Maphaka,SA,BOWL,8.0,93.3,3.2,1,90.04,126.056,Base
Eathan Bosch,SA,AR,8.5,94.5,1.3,1,91.2,114.0,Base
Bjorn Fortuin,SA,BOWL,9.0,84.2,13.6,1,81.26,113.764,Base
Prenelan Subrayen,SA,AR,7.5,93.3,11.5,1,90.04,112.55000000000001,Base
Tafadzwa Tsiga,ZIM,WK,9.5,82.7,21.2,1,86.55,108.1875,Base
Sikandar Raza,ZIM,AR,7.5,119.7,38.8,1,125.28,156.6,Captain (2x)
Nqabayomzi Peter,SA,BOWL,9.0,110.8,35.2,1,106.93,149.702,VC (1.5x)
