player_name,team,role,credits,projected_points,ownership,is_playing,adjusted_pts,Multiplier
Duan Jansen,SA,AR,9.0,120.4,26.0,1,116.19,Base
Nqobani Mokoena,SA,AR,8.0,118.0,17.0,1,113.88,Base
Wesley Madhavere,ZIM,AR,8.0,103.3,36.5,1,108.11,Base
Nqabayomzi Peter,SA,BOWL,9.0,110.8,35.2,1,106.93,Base
Dion Myers,ZIM,BAT,8.5,98.3,4.1,1,102.88,Base
Blessing Muzarabani,ZIM,BOWL,9.0,93.5,27.9,1,97.85,Base
Kundai Matigimu,ZIM,BOWL,8.0,92.5,54.7,1,96.81,Base
Newman Nyamhuri,ZIM,BOWL,9.0,89.7,35.7,1,93.88,Base
Tafadzwa Tsiga,ZIM,WK,9.5,82.7,21.2,1,86.55,Base
Sikandar Raza,ZIM,AR,7.5,119.7,38.8,1,125.28,Captain (2x)
Brad Evans,ZIM,AR,8.0,114.1,2.4,1,119.41,VC (1.5x)
