player_name,role,credits,projected_points,ceiling_ev,differential_bonus,ownership,match_target
M. Boucher,WK,9.0,55.0,76.0,5.0,11.0,ADF vs ECR
H. Davies,BAT,9.5,63.0,86.0,7.0,9.0,ADF vs ECR
T. Khan,BAT,8.5,47.0,65.0,4.0,18.0,ADF vs ECR
S. Ali,AR,9.0,80.0,105.0,8.0,8.0,ADF vs ECR
A. Raza,AR,8.5,71.0,93.0,6.0,13.5,ADF vs ECR
R. Patel,AR,8.0,53.0,73.0,5.0,23.0,ADF vs ECR
N. Pooran,BOWL,9.0,59.0,80.0,5.0,11.5,ADF vs ECR
A. Hales,BOWL,8.5,56.0,74.0,4.0,13.0,ADF vs ECR
C. Lynn,BOWL,8.0,48.0,65.0,4.0,24.0,ADF vs ECR
S. Hetmyer,BOWL,8.0,46.0,61.0,3.0,15.5,ADF vs ECR
R. Powell,BOWL,7.5,43.0,57.0,3.0,18.5,ADF vs ECR
D. Bravo,BAT,8.0,45.0,61.0,4.0,12.0,ADF vs ECR
