player_name,role,credits,projected,ceiling_ev,differential,ownership,match_target
Ross Adair,WK,9.0,55.0,76.0,5.0,11.0,ECR vs ADF
Andries Gous,BAT,9.5,63.0,86.0,7.0,9.0,ECR vs ADF
Gareth Delany,BAT,8.5,47.0,65.0,4.0,18.0,ECR vs ADF
Brandon McMullen,AR,9.0,80.0,105.0,8.0,8.0,ECR vs ADF
Laurie Evans,AR,8.5,71.0,93.0,6.0,13.5,ECR vs ADF
JJ Smuts,AR,8.0,53.0,73.0,5.0,23.0,ECR vs ADF
Max O'Dowd,BOWL,9.0,59.0,80.0,5.0,11.5,ECR vs ADF
Yuvraj Samra,BOWL,8.5,56.0,74.0,4.0,13.0,ECR vs ADF
Bas de Leede,BOWL,8.0,48.0,65.0,4.0,24.0,ECR vs ADF
Curtis Campher,BOWL,8.0,46.0,61.0,3.0,15.5,ECR vs ADF
Tim David,BOWL,7.5,43.0,57.0,3.0,18.5,ECR vs ADF
Scott Edwards,BAT,8.0,45.0,61.0,4.0,12.0,ECR vs ADF
