player_name,role,credits,projected,ceiling_ev,differential,ownership,match_target
Sarah Bryce,WK,9.0,55.0,76.0,5.0,11.0,SCO W vs NED W
Darcey Carter,BAT,9.5,63.0,86.0,7.0,9.0,SCO W vs NED W
Katherine Fraser,BAT,8.5,47.0,65.0,4.0,18.0,SCO W vs NED W
Megan McColl,AR,9.0,80.0,105.0,8.0,8.0,SCO W vs NED W
Maryam Faisal,AR,8.5,71.0,93.0,6.0,13.5,SCO W vs NED W
Niamh Robertson Jack,AR,8.0,53.0,73.0,5.0,23.0,SCO W vs NED W
Babette de Leede,BOWL,9.0,59.0,80.0,5.0,11.5,SCO W vs NED W
Sanya Khurana,BOWL,8.5,56.0,74.0,4.0,13.0,SCO W vs NED W
Phebe Molkenboer,BOWL,8.0,48.0,65.0,4.0,24.0,SCO W vs NED W
Noa Mais,BOWL,8.0,46.0,61.0,3.0,15.5,SCO W vs NED W
Merel Dekeling,BOWL,7.5,43.0,57.0,3.0,18.5,SCO W vs NED W
Frederique Overdijk,BAT,8.0,45.0,61.0,4.0,12.0,SCO W vs NED W
