player_name,role,credits,projected,ceiling_ev,differential,ownership,match_target
Phannita Maya,WK,9.0,55.0,76.0,5.0,11.0,THA W vs HK W
Aphisara Suwanchonrathi,BAT,9.5,63.0,86.0,7.0,9.0,THA W vs HK W
Nannapat Koncharoenkai,BAT,8.5,47.0,65.0,4.0,18.0,THA W vs HK W
Naruemol Chaiwai,AR,9.0,80.0,105.0,8.0,8.0,THA W vs HK W
Chanida Sutthiruang,AR,8.5,71.0,93.0,6.0,13.5,THA W vs HK W
Nannaphat Chaihan,AR,8.0,53.0,73.0,5.0,23.0,THA W vs HK W
Natasha Miles,BOWL,9.0,59.0,80.0,5.0,11.5,THA W vs HK W
Mariko Hill,BOWL,8.5,56.0,74.0,4.0,13.0,THA W vs HK W
Yasmin Daswani,BOWL,8.0,48.0,65.0,4.0,24.0,THA W vs HK W
Maryam Bibi,BOWL,8.0,46.0,61.0,3.0,15.5,THA W vs HK W
Kary Chan,BOWL,7.5,43.0,57.0,3.0,18.5,THA W vs HK W
Marina Lamplough,BAT,8.0,45.0,61.0,4.0,12.0,THA W vs HK W
