name,team,role,projected_points,Final_EV,match_id,timestamp,actual_points
Nathan Smith,teamb,bowl,23.049110193604804,46.09822038720961,87016,2026-08-23 20:38:43,0.0
Daryl Mitchell,teamb,bowl,23.049110193604804,34.573665290407206,87016,2026-08-23 20:38:43,0.0
Kane Williamson,teamb,bowl,23.049110193604804,23.049110193604804,87016,2026-08-23 20:38:43,0.0
Devon Conway,teamb,bowl,23.049110193604804,23.049110193604804,87016,2026-08-23 20:38:43,0.0
Jacob Duffy,teamb,bowl,23.049110193604804,23.049110193604804,87016,2026-08-23 20:38:43,0.0
Mitchell Santner,teamb,bowl,23.049110193604804,23.049110193604804,87016,2026-08-23 20:38:43,0.0
Tom Latham,teamb,ar,22.989091551704277,22.989091551704277,87016,2026-08-23 20:38:43,0.0
Washington Sundar,teama,wk,19.734222574992653,19.734222574992653,87016,2026-08-23 20:38:43,0.0
Ravindra Jadeja,teama,bat,19.734222574992653,19.734222574992653,87016,2026-08-23 20:38:43,0.0
Virat Kohli,teama,bat,19.734222574992653,19.734222574992653,87016,2026-08-23 20:38:43,0.0
Rishabh Pant,teama,bat,19.734222574992653,19.734222574992653,87016,2026-08-23 20:38:43,0.0
Daryl Mitchell,teamb,bowl,23.049110193604804,46.09822038720961,87016,2026-08-23 21:13:58,0.0
Rachin Ravindra,teamb,bowl,23.049110193604804,34.573665290407206,87016,2026-08-23 21:13:58,0.0
Will Young,teamb,bowl,23.049110193604804,23.049110193604804,87016,2026-08-23 21:13:58,0.0
Mark Chapman,teamb,bowl,23.049110193604804,23.049110193604804,87016,2026-08-23 21:13:58,0.0
Jacob Duffy,teamb,bowl,23.049110193604804,23.049110193604804,87016,2026-08-23 21:13:58,0.0
Michael Bracewell,teamb,bowl,23.049110193604804,23.049110193604804,87016,2026-08-23 21:13:58,0.0
Matt Henry,teamb,ar,22.989091551704277,22.989091551704277,87016,2026-08-23 21:13:58,0.0
Shreyas Iyer,teama,bat,19.734222574992653,19.734222574992653,87016,2026-08-23 21:13:58,0.0
Virat Kohli,teama,wk,19.734222574992653,19.734222574992653,87016,2026-08-23 21:13:58,0.0
Rohit Sharma,teama,bat,19.734222574992653,19.734222574992653,87016,2026-08-23 21:13:58,0.0
KL Rahul,teama,bat,19.734222574992653,19.734222574992653,87016,2026-08-23 21:13:58,0.0
William ORourke,teamb,bowl,23.049110193604804,46.09822038720961,87016,2026-08-23 21:14:26,0.0
Glenn Phillips,teamb,bowl,23.049110193604804,34.573665290407206,87016,2026-08-23 21:14:26,0.0
Kane Williamson,teamb,bowl,23.049110193604804,23.049110193604804,87016,2026-08-23 21:14:26,0.0
Matt Henry,teamb,bowl,23.049110193604804,23.049110193604804,87016,2026-08-23 21:14:26,0.0
Mitchell Santner,teamb,bowl,23.049110193604804,23.049110193604804,87016,2026-08-23 21:14:26,0.0
Devon Conway,teamb,ar,22.989091551704277,22.989091551704277,87016,2026-08-23 21:14:26,0.0
Michael Bracewell,teamb,ar,22.989091551704277,22.989091551704277,87016,2026-08-23 21:14:26,0.0
Hardik Pandya,teama,bat,19.734222574992653,19.734222574992653,87016,2026-08-23 21:14:26,0.0
KL Rahul,teama,bat,19.734222574992653,19.734222574992653,87016,2026-08-23 21:14:26,0.0
Shubman Gill,teama,wk,19.734222574992653,19.734222574992653,87016,2026-08-23 21:14:26,0.0
Mohammad Shami,teama,bat,19.734222574992653,19.734222574992653,87016,2026-08-23 21:14:26,0.0
Shimron Hetmyer,Guyana Amazon Warriors,bowl,33.74771846170728,67.49543692341456,87018,2026-08-23 21:47:55,0.0
Shai Hope,Guyana Amazon Warriors,ar,33.3780594831406,50.067089224710905,87018,2026-08-23 21:47:55,0.0
Moeen Ali,Antigua & Barbuda Falcons,bat,29.338251133632088,29.338251133632088,87018,2026-08-23 21:47:55,0.0
Shadab Khan,Antigua & Barbuda Falcons,bat,29.338251133632088,29.338251133632088,87018,2026-08-23 21:47:55,0.0
Glenn Phillips,Guyana Amazon Warriors,bowl,23.049110193604804,23.049110193604804,87018,2026-08-23 21:47:55,0.0
Gudakesh Motie,Guyana Amazon Warriors,bowl,23.049110193604804,23.049110193604804,87018,2026-08-23 21:47:55,0.0
Kusal Perera,Antigua & Barbuda Falcons,ar,22.214328860264796,22.214328860264796,87018,2026-08-23 21:47:55,0.0
Alzarri Joseph,Antigua & Barbuda Falcons,bat,19.734222574992653,19.734222574992653,87018,2026-08-23 21:47:55,0.0
Imad Wasim,Antigua & Barbuda Falcons,bowl,16.937373482064277,16.937373482064277,87018,2026-08-23 21:47:55,0.0
Jayden Seales,Antigua & Barbuda Falcons,bowl,16.937373482064277,16.937373482064277,87018,2026-08-23 21:47:55,0.0
Romario Shepherd,Guyana Amazon Warriors,bat,15.733592355057622,15.733592355057622,87018,2026-08-23 21:47:55,0.0
Romario Shepherd,Guyana Amazon Warriors,ar,43.874869337532054,87.74973867506411,87018,2026-08-23 21:55:40,0.0
