batter,total_runs,balls_faced,dismissals,batting_strike_rate
A Bosch,138,132,6,104.54545454545455
A Canning,10,9,1,111.11111111111111
A Capsey,199,164,12,121.34146341463415
A Dalzell,20,25,2,80.0
A Das,3,8,1,37.5
A Dercksen,172,135,7,127.40740740740742
A Gardner,461,380,19,121.31578947368422
A Hunter,98,108,8,90.74074074074075
A Khaka,10,12,1,83.33333333333334
A King,11,13,2,84.61538461538461
A Lister,127,129,8,98.44961240310077
A Mohammed,28,28,3,100.0
A Munisar,1,1,0,100.0
A Reddy,19,22,4,86.36363636363636
A Shrubsole,57,58,4,98.27586206896551
A Sutherland,73,52,5,140.3846153846154
A Tector,38,38,2,100.0
AA Alleyne,45,46,4,97.82608695652173
AA Patil,43,49,4,87.75510204081633
AC Jayangani,799,718,26,111.28133704735377
AC Kerr,416,398,18,104.52261306532664
AE Jones,382,325,18,117.53846153846155
AE Satterthwaite,101,117,4,86.32478632478633
AH Maqsood,9,17,1,52.94117647058824
AJ Blackwell,111,134,2,82.83582089552239
AJ Healy,862,671,24,128.4649776453055
AJ Kenealy,18,21,3,85.71428571428571
AK Maguire,3,5,1,60.0
AM Peterson,28,25,4,112.00000000000001
AN Kelly,24,31,4,77.41935483870968
ASS Fletcher,43,38,5,113.1578947368421
Aiman Anwer,7,12,0,58.333333333333336
Aliya Riaz,202,238,18,84.87394957983193
Anam Amin,0,1,0,0.0
Asmavia Iqbal,73,70,5,104.28571428571429
Ayasha Rahman,110,205,13,53.65853658536586
Ayesha Naseem,49,31,1,158.06451612903226
Ayesha Zafar,95,110,8,86.36363636363636
B Bezuidenhout,91,62,5,146.7741935483871
B Cooper,113,119,7,94.9579831932773
B de Leede,175,189,7,92.5925925925926
BL Mooney,990,847,25,116.88311688311688
BM Halliday,238,216,9,110.18518518518519
BMSM Kumari,16,26,7,61.53846153846154
BS Fulmali,1,3,1,33.33333333333333
BYA Mendis,190,206,12,92.23300970873787
Batool Fatima,15,19,1,78.94736842105263
Bismah Maroof,442,486,16,90.94650205761316
C Murray,6,19,4,31.57894736842105
C Raack,4,6,0,66.66666666666666
C Sutthiruang,37,42,4,88.09523809523809
C de Lange,1,8,2,12.5
CA Henry,195,189,11,103.17460317460319
CC Dalton,9,28,3,32.142857142857146
CE Dean,23,17,2,135.29411764705884
CJ Metcalfe,4,23,0,17.391304347826086
CL Tryon,375,309,23,121.35922330097087
