batter,total_runs,balls_faced,dismissals,batting_strike_rate,projected_fantasy_points
A Bosch,138,132,6,104.54545454545456,140.76
A Canning,10,9,1,111.11111111111111,10.2
A Capsey,199,164,12,121.34146341463416,202.98
A Dalzell,20,25,2,80.0,20.4
A Das,3,8,1,37.5,3.06
A Dercksen,172,135,7,127.40740740740742,175.44
A Gardner,461,380,19,121.31578947368422,470.22
A Hunter,98,108,8,90.74074074074076,99.96000000000001
A Khaka,10,12,1,83.33333333333334,10.2
A King,11,13,2,84.61538461538461,11.22
A Lister,127,129,8,98.44961240310076,129.54
A Mohammed,28,28,3,100.0,28.560000000000002
A Munisar,1,1,0,100.0,1.02
A Reddy,19,22,4,86.36363636363636,19.38
A Shrubsole,57,58,4,98.27586206896552,58.14
A Sutherland,73,52,5,140.3846153846154,84.66
A Tector,38,38,2,100.0,38.76
AA Alleyne,45,46,4,97.82608695652172,45.9
AA Patil,43,49,4,87.75510204081633,43.86
AC Jayangani,799,718,26,111.28133704735376,814.98
AC Kerr,416,398,18,104.52261306532664,424.32
AE Jones,382,325,18,117.53846153846156,389.64
AE Satterthwaite,101,117,4,86.32478632478633,103.02
AH Maqsood,9,17,1,52.94117647058824,9.18
AJ Blackwell,111,134,2,82.83582089552239,113.22
AJ Healy,862,671,24,128.4649776453055,879.24
AJ Kenealy,18,21,3,85.71428571428571,18.36
AK Maguire,3,5,1,60.0,3.06
AM Peterson,28,25,4,112.0,28.560000000000002
AN Kelly,24,31,4,77.41935483870968,24.48
ASS Fletcher,43,38,5,113.1578947368421,43.86
Aiman Anwer,7,12,0,58.333333333333336,7.140000000000001
Aliya Riaz,202,238,18,84.87394957983193,206.04
Anam Amin,0,1,0,0.0,0.0
Asmavia Iqbal,73,70,5,104.28571428571428,74.46000000000001
Ayasha Rahman,110,205,13,53.65853658536586,112.2
Ayesha Naseem,49,31,1,158.06451612903226,60.18
Ayesha Zafar,95,110,8,86.36363636363636,96.9
B Bezuidenhout,91,62,5,146.7741935483871,103.02
B Cooper,113,119,7,94.9579831932773,115.26
B de Leede,175,189,7,92.5925925925926,178.5
BL Mooney,990,847,25,116.88311688311688,1009.8000000000001
BM Halliday,238,216,9,110.1851851851852,242.76
BMSM Kumari,16,26,7,61.53846153846154,16.32
BS Fulmali,1,3,1,33.33333333333333,1.02
BYA Mendis,190,206,12,92.23300970873788,193.8
Batool Fatima,15,19,1,78.94736842105263,15.3
Bismah Maroof,442,486,16,90.94650205761316,450.84000000000003
C Murray,6,19,4,31.57894736842105,6.12
C Raack,4,6,0,66.66666666666666,4.08
C Sutthiruang,37,42,4,88.09523809523809,37.74
C de Lange,1,8,2,12.5,1.02
CA Henry,195,189,11,103.1746031746032,198.9
CC Dalton,9,28,3,32.142857142857146,9.18
CE Dean,23,17,2,135.29411764705884,33.660000000000004
CJ Metcalfe,4,23,0,17.391304347826086,4.08
CL Tryon,375,309,23,121.35922330097088,382.5
CM Edwards,322,318,9,101.25786163522012,328.44
CMA Shillington,201,221,11,90.9502262443439,205.02
CN Nation,36,43,2,83.72093023255815,36.72
CNIM Joyce,132,172,10,76.74418604651163,134.64000000000001
D Brown,6,2,0,300.0,16.32
D Devnarain,36,41,4,87.8048780487805,36.72
D Hazell,23,30,2,76.66666666666667,23.46
D Hemalatha,21,18,3,116.66666666666669,21.42
D Tucker,12,25,2,48.0,12.24
D van Niekerk,281,373,13,75.33512064343164,286.62
DB Sharma,278,270,10,102.96296296296296,283.56
DEM Carter,227,222,8,102.25225225225223,231.54
DJS Dottin,627,577,25,108.66551126516464,639.54
DM Kimmince,5,8,1,62.5,5.1
DN Wyatt,746,596,24,125.16778523489933,760.92
DP Vaidya,0,1,0,0.0,0.0
DR Gibson,56,47,4,119.14893617021276,57.120000000000005
Diana Baig,3,15,2,20.0,3.06
Dilara Akter,60,77,7,77.92207792207793,61.2
E Bisht,1,2,1,50.0,1.02
EA Osborne,14,18,5,77.77777777777779,14.280000000000001
EA Perry,650,558,22,116.48745519713262,663.0
EAJ Richardson,66,78,9,84.61538461538461,67.32000000000001
EJ Carson,9,24,3,37.5,9.18
EJ Tice,41,56,3,73.21428571428571,41.82
EJ Villani,342,290,13,117.9310344827586,348.84000000000003
ELC Flanagan,5,7,1,71.42857142857143,5.1
EM Bermingham,8,5,1,160.0,18.36
EMKNH Senavirathna,36,28,3,128.57142857142858,36.72
Eyman Fatima,0,6,1,0.0,0.0
F Overdijk,24,23,3,104.34782608695652,24.48
F Tunnicliffe,9,18,2,50.0,9.18
FC Jonas,5,13,1,38.46153846153847,5.1
FC Wilson,39,44,3,88.63636363636364,39.78
FG Kemp,90,58,1,155.17241379310346,102.0
FL Mackay,77,76,3,101.3157894736842,78.54
Fahima Khatun,98,121,10,80.99173553719008,99.96000000000001
Fargana Hoque,172,246,16,69.91869918699187,175.44
Fatima Sana,174,174,11,100.0,177.48
G Fontenla,3,2,1,150.0,13.26
G Sultana,3,3,0,100.0,3.06
G Voll,130,95,6,136.8421052631579,142.8
G Wareham,94,67,7,140.2985074626866,106.08
GA Elwiss,0,1,1,0.0,0.0
GE Plimmer,187,179,10,104.46927374301676,190.74
GH Lewis,331,373,14,88.73994638069705,337.62
GM Harris,78,69,6,113.04347826086956,79.56
GWHM Perera,129,178,12,72.47191011235955,131.58
Gull Feroza,102,93,5,109.6774193548387,104.04
H Karunaratne,19,34,3,55.88235294117647,19.38
H Kaur,805,690,28,116.66666666666669,821.1
H Madavi,272,313,13,86.90095846645367,277.44
HAM Samuddika,11,10,2,110.0,11.22
HASD Siriwardene,167,217,12,76.95852534562212,170.34
HC Knight,641,590,23,108.64406779661016,653.82
HDJ Siegers,70,60,4,116.66666666666669,71.4
HK Matthews,653,633,29,103.15955766192732,666.0600000000001
HL Ferling,0,1,1,0.0,0.0
HM Rowe,13,17,2,76.47058823529412,13.26
HMD Rasangika,8,23,2,34.78260869565217,8.16
HNK Jensen,24,33,4,72.72727272727273,24.48
HWA Landheer,0,1,1,0.0,0.0
I Dulani,48,64,4,75.0,48.96
I Ranaweera,12,31,2,38.70967741935484,12.24
I van der Woning,0,2,1,0.0,0.0
IC Gaze,116,104,6,111.53846153846156,118.32000000000001
IG Sharp,103,81,5,127.16049382716052,105.06
IJR Zwilling,24,24,2,100.0,24.48
IMHC Joyce,221,278,12,79.49640287769785,225.42000000000002
Iram Javed,82,111,7,73.87387387387388,83.64
J Glasgow,42,53,3,79.24528301886792,42.84
J Goswami,62,67,6,92.53731343283582,63.24
J Gray,14,22,3,63.63636363636363,14.280000000000001
J Maguire,1,4,1,25.0,1.02
JE Cameron,5,10,2,50.0,5.1
JI Rodrigues,499,452,24,110.39823008849558,508.98
JKC Claxton,53,75,5,70.66666666666667,54.06
JL Gunn,22,28,3,78.57142857142857,22.44
JL Jonassen,69,92,9,75.0,70.38
JM Dibble,0,1,1,0.0,0.0
JM Kerr,34,36,2,94.44444444444444,34.68
JM Watkin,0,2,2,0.0,0.0
Jahanara Alam,57,81,11,70.37037037037037,58.14
Javeria Khan,315,324,12,97.2222222222222,321.3
Juairiya Ferdous,98,86,5,113.95348837209302,99.96000000000001
K Fraser,105,113,7,92.92035398230088,107.10000000000001
K Kavindi,17,29,2,58.620689655172406,17.34
K McKenna,0,3,1,0.0,0.0
K Reyneke,2,6,2,33.33333333333333,2.04
KADA Kanchana,42,55,7,76.36363636363637,42.84
KDU Prabodhani,57,87,8,65.51724137931035,58.14
KE Bryce,170,163,9,104.29447852760735,173.4
KH Brunt,57,52,7,109.61538461538464,58.14
KH Sciver-Brunt,5,6,2,83.33333333333334,5.1
KJ Garth,92,141,6,65.24822695035462,93.84
KJ Martin,208,171,9,121.6374269005848,212.16
KL Gordon,24,21,1,114.28571428571428,24.48
KM Beams,4,2,0,200.0,14.280000000000001
KT Perkins,78,85,4,91.76470588235294,79.56
KV Jain,8,14,2,57.14285714285714,8.16
Khadija Tul Kubra,7,12,2,58.333333333333336,7.140000000000001
Kycia A Knight,157,179,8,87.70949720670392,160.14000000000001
Kyshona A Knight,14,36,4,38.88888888888889,14.280000000000001
L Delany,135,188,11,71.80851063829788,137.7
L Jack,29,45,4,64.44444444444444,29.580000000000002
L Kumari,2,10,1,20.0,2.04
