bowler,runs_conceded,balls_bowled,wickets_taken,economy_rate
A Canning,26,25,3,6.239999999999999
A Dalzell,36,25,0,8.639999999999999
A Das,47,49,3,5.755102040816327
A Dercksen,23,21,2,6.571428571428571
A Gardner,510,476,30,6.428571428571429
A Khaka,509,491,23,6.219959266802444
A King,110,111,2,5.945945945945946
A Mohammed,268,287,13,5.602787456445993
A Munisar,121,112,6,6.482142857142857
A Reddy,281,232,11,7.267241379310345
A Shrubsole,322,438,34,4.410958904109589
A Sutherland,272,283,19,5.76678445229682
A Tector,17,18,1,5.666666666666667
AA Alleyne,221,209,12,6.3444976076555015
AA Patil,107,134,8,4.791044776119403
AC Jayangani,438,409,23,6.425427872860635
AC Kerr,490,537,40,5.4748603351955305
AE Satterthwaite,77,60,3,7.7
AH Maqsood,93,70,0,7.9714285714285715
AJ Kenealy,121,113,2,6.424778761061948
AK Maguire,144,118,6,7.322033898305084
AM Peterson,70,61,5,6.885245901639345
AN Kelly,223,193,7,6.932642487046633
ASS Fletcher,574,579,34,5.948186528497409
Aiman Anwer,213,161,9,7.937888198757764
Aliya Riaz,148,121,8,7.338842975206611
Anam Amin,276,307,16,5.39413680781759
Asmavia Iqbal,154,203,15,4.551724137931034
Ayesha Zafar,29,30,4,5.8
BG Illing,114,109,3,6.275229357798165
BM Halliday,18,20,3,5.3999999999999995
BMSM Kumari,479,440,15,6.531818181818182
Bismah Maroof,136,121,2,6.743801652892562
C Abel,22,13,0,10.153846153846155
C Murray,182,156,9,7.0
C Raack,43,30,1,8.6
C Sutthiruang,74,51,2,8.705882352941176
C de Lange,142,122,7,6.983606557377049
CA Henry,280,291,10,5.77319587628866
CE Dean,426,366,19,6.983606557377049
CJ Metcalfe,131,135,7,5.822222222222222
CL Tryon,352,331,11,6.380664652567976
CM Edwards,9,6,0,9.0
D Brown,121,157,8,4.62420382165605
D Hazell,196,197,6,5.969543147208121
D Hemalatha,78,62,5,7.548387096774193
D Tucker,15,18,0,5.0
D van Niekerk,225,278,19,4.856115107913669
DB Sharma,615,558,28,6.612903225806452
DEM Carter,60,48,2,7.5
DJS Dottin,279,338,36,4.952662721893491
DM Kimmince,183,222,11,4.945945945945946
DN Wyatt,9,6,0,9.0
DP Vaidya,15,13,1,6.923076923076923
DR Gibson,102,86,6,7.116279069767441
Diana Baig,132,143,8,5.538461538461538
E Bisht,33,48,5,4.125
EA Osborne,142,142,6,6.0
EA Perry,395,465,29,5.096774193548387
EAJ Richardson,207,153,5,8.117647058823529
EJ Carson,198,211,15,5.630331753554502
EJ Tice,106,97,2,6.556701030927835
EM Bermingham,75,93,6,4.838709677419355
F Overdijk,59,36,1,9.833333333333334
FC Jonas,124,129,5,5.767441860465116
FC Leydon-Davis,38,49,4,4.653061224489797
FG Kemp,119,105,7,6.8
FL Mackay,124,113,6,6.5840707964601775
FR Davies,26,26,1,6.0
Fahima Khatun,442,429,14,6.181818181818182
Fariha Trisna,25,27,2,5.555555555555555
Fatima Sana,257,250,19,6.168
G Dempsey,26,19,0,8.210526315789474
G Fontenla,65,44,0,8.863636363636363
G Sultana,95,109,1,5.229357798165137
G Wareham,358,431,29,4.983758700696056
GA Elwiss,21,37,3,3.4054054054054053
GM Harris,7,18,2,2.3333333333333335
H Kaur,119,141,13,5.0638297872340425
HAM Samuddika,77,66,2,7.0
HASD Siriwardene,309,319,22,5.8119122257053295
HC Knight,91,111,6,4.918918918918919
HDJ Siegers,117,85,3,8.258823529411766
HHC Gunaratne,48,42,2,6.857142857142857
HK Matthews,508,522,31,5.839080459770115
HL Ferling,23,29,1,4.758620689655173
HM Rowe,51,63,6,4.857142857142857
HNK Jensen,233,209,16,6.688995215311004
HR Huddleston,37,43,2,5.162790697674418
HRA Rainey,56,44,1,7.636363636363637
HWA Landheer,50,45,2,6.666666666666667
I Ranaweera,324,323,15,6.018575851393188
I van der Woning,69,42,0,9.857142857142858
IJR Zwilling,171,121,7,8.479338842975206
IMHC Joyce,211,220,10,5.754545454545455
J Goswami,119,149,7,4.791946308724833
J Maguire,71,63,2,6.761904761904762
JI Rodrigues,11,13,0,5.0769230769230775
JKC Claxton,18,6,0,18.0
JL Gunn,169,210,15,4.828571428571428
JL Hunter,32,26,0,7.384615384615385
JL Jonassen,359,403,21,5.344913151364764
JM Dibble,20,13,0,9.230769230769232
JM Kerr,216,196,4,6.612244897959184
JM Watkin,59,69,5,5.130434782608695
Jahanara Alam,352,335,14,6.304477611940298
K Fraser,197,151,10,7.827814569536423
K Goud,48,40,0,7.199999999999999
K Kavindi,22,22,0,6.0
K Ramharack,240,247,15,5.82995951417004
KADA Kanchana,78,72,1,6.5
KDU Prabodhani,356,448,23,4.767857142857142
KE Bryce,229,201,10,6.835820895522388
KH Brunt,170,186,7,5.483870967741935
KH Sciver-Brunt,115,105,6,6.571428571428571
KJ Garth,338,304,15,6.671052631578948
KL Gordon,229,237,18,5.7974683544303796
KM Beams,130,146,7,5.342465753424658
Khadija Tul Kubra,202,201,11,6.029850746268656
L Cheatle,36,49,4,4.408163265306123
L Delany,239,174,10,8.241379310344827
L Maritz,21,14,0,9.0
L Paul,90,80,3,6.75
LA Marsh,30,48,4,3.75
LA McBride,47,41,0,6.878048780487805
LCN Smith,276,270,10,6.133333333333334
LE Kaushalya,82,81,2,6.074074074074074
LK Bell,292,300,15,5.84
LK Hamilton,60,92,2,3.9130434782608696
LK O'Reilly,193,212,10,5.462264150943396
LM Kasperek,310,328,25,5.670731707317073
LMM Tahuhu,429,458,23,5.620087336244542
LN McCarthy,106,92,4,6.913043478260869
Lata Mondal,34,28,0,7.285714285714286
M Ayodhya,114,123,6,5.560975609756097
M Daniels,115,176,5,3.9204545454545454
M Joshi,12,18,0,4.0
M Kapp,520,672,38,4.642857142857143
M Klaas,87,91,4,5.736263736263736
M Madara,47,28,1,10.071428571428571
M Shehani,32,30,0,6.4
M Strano,38,36,2,6.333333333333333
MIW van den Raad,65,50,1,7.8
MJG Nielsen,154,235,10,3.9319148936170216
MK Villiers,27,25,3,6.4799999999999995
ML Schutt,539,632,54,5.117088607594937
MM Letsoalo,48,37,3,7.783783783783783
MM Penfold,9,14,0,3.8571428571428568
Marufa Akter,275,278,11,5.935251798561151
N Boochatham,63,59,1,6.406779661016949
N Mlaba,475,519,28,5.491329479768786
N Shree Charani,115,122,14,5.6557377049180335
N de Klerk,402,333,17,7.243243243243243
NH Patel,120,97,4,7.422680412371133
NJ Browne,69,75,3,5.52
NJ Carey,108,102,4,6.352941176470588
NM Meepage,95,96,2,5.9375
