Lineup_Num,Projected_Pts,Captain,Vice_Captain,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9
1,742.75,Jos Buttler,Virat Kohli,Suryakumar Yadav,Jasprit Bumrah,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Phil Salt,Jofra Archer,Chris Jordan,Harry Brook
2,740.0,Jos Buttler,Jasprit Bumrah,Suryakumar Yadav,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Jonny Bairstow,Phil Salt,Sam Curran,Jofra Archer,Harry Brook
3,738.75,Jos Buttler,Virat Kohli,Suryakumar Yadav,Jasprit Bumrah,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Sam Curran,Adil Rashid,Chris Jordan,Harry Brook
4,738.0,Jos Buttler,Jasprit Bumrah,Rohit Sharma,Suryakumar Yadav,Rishabh Pant,Arshdeep Singh,Sam Curran,Jofra Archer,Mark Wood,Chris Jordan,Harry Brook
5,738.0,Jos Buttler,Jasprit Bumrah,Rohit Sharma,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Jonny Bairstow,Jofra Archer,Adil Rashid,Chris Jordan,Harry Brook
6,738.0,Virat Kohli,Jasprit Bumrah,Suryakumar Yadav,Hardik Pandya,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Phil Salt,Jofra Archer,Adil Rashid,Harry Brook
7,737.0,Virat Kohli,Jasprit Bumrah,Hardik Pandya,Rishabh Pant,Arshdeep Singh,Jonny Bairstow,Phil Salt,Sam Curran,Jofra Archer,Chris Jordan,Harry Brook
8,737.0,Virat Kohli,Jasprit Bumrah,Rohit Sharma,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Phil Salt,Sam Curran,Jofra Archer,Harry Brook
9,737.0,Jos Buttler,Jasprit Bumrah,Rohit Sharma,Suryakumar Yadav,Hardik Pandya,Rishabh Pant,Arshdeep Singh,Phil Salt,Adil Rashid,Chris Jordan,Harry Brook
10,736.75,Jos Buttler,Virat Kohli,Jasprit Bumrah,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Jonny Bairstow,Moeen Ali,Jofra Archer,Chris Jordan,Harry Brook
11,736.75,Jos Buttler,Virat Kohli,Jasprit Bumrah,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Jonny Bairstow,Phil Salt,Adil Rashid,Harry Brook
12,736.0,Jos Buttler,Jasprit Bumrah,Rohit Sharma,Suryakumar Yadav,Ravindra Jadeja,Arshdeep Singh,Mohammed Siraj,Phil Salt,Jofra Archer,Mark Wood,Harry Brook
13,736.0,Virat Kohli,Jasprit Bumrah,Suryakumar Yadav,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Sam Curran,Jofra Archer,Adil Rashid,Mark Wood,Harry Brook
14,736.0,Jos Buttler,Jasprit Bumrah,Suryakumar Yadav,Hardik Pandya,Arshdeep Singh,Jonny Bairstow,Phil Salt,Jofra Archer,Mark Wood,Chris Jordan,Harry Brook
15,735.0,Jos Buttler,Jasprit Bumrah,Rohit Sharma,Suryakumar Yadav,Arshdeep Singh,Mohammed Siraj,Moeen Ali,Jofra Archer,Adil Rashid,Chris Jordan,Harry Brook
16,735.0,Virat Kohli,Jasprit Bumrah,Suryakumar Yadav,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Mohammed Siraj,Jonny Bairstow,Sam Curran,Jofra Archer,Chris Jordan
17,735.0,Jos Buttler,Jasprit Bumrah,Suryakumar Yadav,Ravindra Jadeja,Mohammed Siraj,Jonny Bairstow,Phil Salt,Jofra Archer,Adil Rashid,Chris Jordan,Harry Brook
18,734.75,Jos Buttler,Virat Kohli,Jasprit Bumrah,Ravindra Jadeja,Rishabh Pant,Arshdeep Singh,Jonny Bairstow,Sam Curran,Mark Wood,Chris Jordan,Harry Brook
19,734.0,Jos Buttler,Jasprit Bumrah,Suryakumar Yadav,Rishabh Pant,Arshdeep Singh,Jonny Bairstow,Moeen Ali,Jofra Archer,Adil Rashid,Mark Wood,Harry Brook
20,734.0,Virat Kohli,Jasprit Bumrah,Rohit Sharma,Rishabh Pant,Arshdeep Singh,Moeen Ali,Sam Curran,Jofra Archer,Adil Rashid,Chris Jordan,Harry Brook
