match_id,date,optimal_points,optimal_roster
1491608,2025-07-12,1017.0,"Muhammad Fahad, Ilyas Ataullah, H Lakov, Zeerak Chughtai, A Turkmen, J Dowling, Murat Yilmaz, Manan Bashir, M Gogev, Jakob Gul, Ilyas Cetin"
1542990,2026-06-28,919.0,"Karanbir Singh, Abidullah Kotwa, RJ Ainsworth, Muhammad Saqlain, Bilal Zalmai, Ibrar Ahmad, Hamid Safi, Itibarshah Deedar, Gabor Torok, D Gaikwad, Baseer Khan"
1426273,2024-04-20,910.0,"TM Head, Kuldeep Yadav, T Natarajan, Nithish Kumar Reddy, J Fraser-McGurk, Shahbaz Ahmed, Abhishek Sharma, Abishek Porel, RR Pant, M Markande, Mukesh Kumar"
1497874,2025-08-30,904.0,"Junaid Siddique, Saim Ayub, Hasan Ali, Asif Khan, Saghir Khan, Hassan Nawaz, Mohammad Nawaz, Haider Ali, Waseem Muhammad, Salman Mirza, Faheem Ashraf"
1444956,2024-08-20,890.0,"D Visser, N Nipiko, TL Cutler, J Rasu, D Finau, DE Burgess, D Wotu, Noah Mead, A Mansale, SF Tiai, CK Jasmat"
1233972,2021-02-25,881.0,"MJ Guptill, JDS Neesham, DR Sams, MP Stoinis, MJ Santner, KW Richardson, KS Williamson, JR Philippe, TG Southee, MS Wade, JA Richardson"
1491607,2025-07-11,878.0,"M Gogev, Jakob Gul, PA Raikes, Manan Bashir, Isa Zaroo, L Bruce, IDM Latin, K Mirpuri, C Pyle, M Raikes, Zeerak Chughtai"
1490238,2026-01-31,874.0,"Ishan Kishan, Arshdeep Singh, FH Allen, SA Yadav, AR Patel, HH Pandya, LH Ferguson, IS Sodhi, Abhishek Sharma, R Ravindra, DJ Mitchell"
1276913,2022-07-27,873.0,"L Ngidi, JM Bairstow, MM Ali, T Stubbs, RR Hendricks, RJ Gleeson, DJ Malan, AL Phehlukwayo, AU Rashid, RJW Topley, JC Buttler"
1041615,2016-08-27,871.0,"KL Rahul, E Lewis, J Charles, RG Sharma, JJ Bumrah, MS Dhoni, AD Russell, KA Pollard, DJ Bravo, RA Jadeja, Mohammed Shami"
1482829,2025-05-06,865.0,"Arslan Amjad, P Pushparajan, Mehboob Ali, S Gooch, P Gheewala, S Hook, Jaswinder Singh, Jaspal Singh, R Dianish, Elias Hasan, Habib Khan"
1339605,2023-03-26,858.0,"J Charles, Q de Kock, RR Hendricks, M Jansen, KR Mayers, R Powell, R Shepherd, AK Markram, WD Parnell, OF Smith, JO Holder"
1512768,2026-02-28,853.0,"MD Shanaka, Sahibzada Farhan, Fakhar Zaman, D Madushanka, Abrar Ahmed, P Rathnayake, PVD Chameera, K Mishara, KIC Asalanka, Shaheen Shah Afridi, Naseem Shah"
1422134,2024-04-03,853.0,"SP Narine, AD Russell, A Nortje, RR Pant, A Raghuvanshi, CV Varun, VG Arora, T Stubbs, I Sharma, MA Starc, RK Singh"
1122730,2017-12-22,853.0,"RG Sharma, KL Rahul, MDKJ Perera, YS Chahal, Kuldeep Yadav, WU Tharanga, N Pradeep, NLTC Perera, HH Pandya, MS Dhoni, N Dickwella"
