Player,Team,Role,Salary,Base_Projection,Vegas_Odds,Selected_Status,Adjusted_Projection
Smriti Mandhana,India Women,BAT,44.0,76.0,1.85,PLAYING,65.85
Shafali Verma,India Women,BAT,49.0,84.0,1.85,PLAYING,72.78
Pratika Rawal,India Women,BAT,47.0,83.0,1.85,PLAYING,71.92
Harmanpreet Kaur,India Women,BAT,51.5,55.0,1.85,PLAYING,47.66
Bharti Fulmali,India Women,BAT,53.5,79.0,1.85,PLAYING,68.45
Richa Ghosh,India Women,WK,52.5,92.0,1.85,PLAYING,77.39
Deepti Sharma,India Women,AR,44.5,58.0,1.85,PLAYING,49.75
Prema Rawat,India Women,BOWL,53.0,70.0,1.85,PLAYING,60.04
Shree Charani,India Women,BOWL,45.5,81.0,1.85,PLAYING,69.48
Kranti Gaud,India Women,BOWL,45.0,75.0,1.85,PLAYING,64.33
Nandni Sharma,India Women,AR,51.0,65.0,1.85,PLAYING,55.75
Nattakan Chantam,Thailand Women,BAT,47.5,73.0,3.2,PLAYING,48.04
Naruemol Chaiwai,Thailand Women,BAT,39.5,48.0,3.2,PLAYING,31.59
Nannapat Koncharoenkai,Thailand Women,WK,45.0,50.0,3.2,PLAYING,32.9
Chanida Sutthiruang,Thailand Women,AR,45.0,58.0,3.2,PLAYING,38.92
Onnicha Kamchomphu,Thailand Women,AR,41.0,53.0,3.2,PLAYING,35.56
Thipatcha Putthawong,Thailand Women,BOWL,45.0,46.0,3.2,PLAYING,30.86
Suleeporn Laomi,Thailand Women,BOWL,44.0,58.0,3.2,PLAYING,38.92
Sunida Chaturongrattana,Thailand Women,BOWL,41.0,62.0,3.2,PLAYING,41.6
Phannita Maya,Thailand Women,BAT,46.5,51.0,3.2,PLAYING,33.56
Aphisara Suwanchonrathi,Thailand Women,BAT,41.0,63.0,3.2,PLAYING,41.46
Koranit Suwanchonrathi,Thailand Women,BOWL,47.5,48.0,3.2,PLAYING,32.21
