name,role,team,cost,proj_points,id,is_captain,is_vice
Fatima Sana,AR,Pakistan Women,9.0,75.8,5,False,False
Shawaal Zulfiqar,BAT,Pakistan Women,7.5,76.2,1,False,False
Gull Feroza,BAT,Pakistan Women,8.0,76.2,2,False,True
Ayesha Zafar,BAT,Pakistan Women,8.0,76.2,3,False,False
Sadaf Shamas,BAT,Pakistan Women,7.5,76.2,4,False,False
Eyman Fatima,BAT,Pakistan Women,7.5,76.2,6,False,False
Nattakan Chantam,BAT,Thailand Women,8.0,61.0,11,False,False
Umm-e-Hani,BOWL,Pakistan Women,7.5,64.7,7,False,False
Thipatcha Putthawong,BOWL,Thailand Women,9.0,51.7,21,False,False
Muneeba Ali,WK,Pakistan Women,9.0,81.5,0,True,False
Nannapat Koncharoenkai,WK,Thailand Women,7.5,65.2,13,False,False
