name,role,team,cost,proj_points,proj_ownership,c_pOWN,vc_pOWN,id,is_captain,is_vice
C Athapaththu,AR,Sri Lanka Women,9.0,53.5,60.0,69.75,6.79,0,False,False
K Dilhari,AR,Sri Lanka Women,9.0,53.5,60.0,4.52,18.64,2,False,False
W Dewi,AR,Indonesia Women,9.0,53.5,60.0,1.59,4.97,12,False,False
N Made Suwandewi,AR,Indonesia Women,9.0,53.5,60.0,0.33,0.83,13,False,False
F Rada Rani,AR,Indonesia Women,9.0,53.5,60.0,0.12,0.24,19,False,False
I Dulani,BAT,Sri Lanka Women,8.5,47.7,43.2,2.66,5.2,1,False,False
H Madavi Samarawickrama,BAT,Sri Lanka Women,8.5,47.7,43.2,0.81,1.11,8,False,False
S Kumari,BOWL,Sri Lanka Women,8.0,39.7,20.0,1.81,5.3,4,False,False
N Kadek Ariani,BOWL,Indonesia Women,8.0,39.7,20.0,0.9,3.57,11,False,False
K Nuthyangana,WK,Sri Lanka Women,9.0,60.4,80.0,0.55,0.53,6,True,False
N Sakarini,WK,Indonesia Women,9.0,60.4,80.0,0.32,0.43,18,False,True
