Player,Team,Role,Salary,Base_Projection,H2H_Weight,Selected_Status,Adjusted_Projection
PlayerA1,TEAM_A,BOWL,8.5,150.47,1.2,PLAYING,180.56
PlayerA2,TEAM_A,BAT,8.5,231.87,1.13,PLAYING,262.01
PlayerA3,TEAM_A,AR,8.5,201.18,1.19,PLAYING,239.4
PlayerA4,TEAM_A,BAT,8.5,230.07,1.18,PLAYING,271.48
PlayerA5,TEAM_A,BOWL,8.5,134.05,1.2,PLAYING,160.86
PlayerA6,TEAM_A,AR,8.5,234.68,1.13,PLAYING,265.19
PlayerA7,TEAM_A,BOWL,8.5,155.03,1.09,PLAYING,168.98
PlayerA8,TEAM_A,BAT,8.5,206.85,1.04,PLAYING,215.12
PlayerA9,TEAM_A,AR,8.5,139.67,1.11,PLAYING,155.03
PlayerA10,TEAM_A,BAT,8.5,210.01,1.13,PLAYING,237.31
PlayerA11,TEAM_A,BOWL,8.5,159.03,1.13,PLAYING,179.7
PlayerB1,TEAM_B,WK,8.5,193.56,1.2,PLAYING,232.27
PlayerB2,TEAM_B,BAT,8.5,172.44,1.21,PLAYING,208.65
PlayerB3,TEAM_B,AR,8.5,227.22,1.06,PLAYING,240.85
PlayerB4,TEAM_B,BAT,8.5,154.05,1.25,PLAYING,192.56
PlayerB5,TEAM_B,BAT,8.5,218.26,1.22,PLAYING,266.28
PlayerB6,TEAM_B,AR,8.5,189.77,1.05,PLAYING,199.26
PlayerB7,TEAM_B,BAT,8.5,194.93,1.18,PLAYING,230.02
PlayerB8,TEAM_B,BAT,8.5,154.14,1.16,PLAYING,178.8
PlayerB9,TEAM_B,AR,8.5,152.25,1.06,PLAYING,161.39
PlayerB10,TEAM_B,BAT,8.5,159.7,1.25,PLAYING,199.62
PlayerB11,TEAM_B,BAT,8.5,201.36,1.04,PLAYING,209.41
