Player,Team,Role,Salary,Base_Projection,Vegas_Odds,Selected_Status,Adjusted_Projection
Gerhard Erasmus,NAM,AR,49.5,57.21,2.66,PLAYING,41.64
Jan Frylinck,NAM,AR,44.5,86.93,2.66,PLAYING,63.28
JJ Smit,NAM,AR,48.0,80.15,2.53,PLAYING,59.71
Zane Green,NAM,WK,44.0,62.35,2.34,PLAYING,48.11
Michael van Lingen,NAM,BAT,52.5,67.62,2.57,PLAYING,50.02
JP Kotze,NAM,BAT,53.5,75.18,2.39,PLAYING,57.47
Tangeni Lungameni,NAM,BOWL,50.5,50.24,2.02,PLAYING,41.23
Bernard Scholtz,NAM,BOWL,47.5,89.17,2.51,PLAYING,66.68
Ruben Trumpelmann,NAM,BOWL,50.0,51.78,2.42,PLAYING,39.36
Jan Nicol Loftie-Eaton,NAM,AR,53.0,66.34,2.36,PLAYING,50.99
Ben Shikongo,NAM,BOWL,53.5,81.87,2.27,PLAYING,64.0
Pikky Ya France,NAM,AR,50.5,64.7,1.98,PLAYING,53.53
Craig Ervine,ZIM,BAT,50.5,79.83,2.43,PLAYING,60.57
Sikandar Raza,ZIM,AR,44.0,55.3,2.66,PLAYING,40.25
Sean Williams,ZIM,AR,48.5,66.71,2.82,PLAYING,47.22
Ryan Burl,ZIM,AR,43.5,57.41,2.19,PLAYING,45.57
Clive Madande,ZIM,WK,43.0,80.92,2.73,PLAYING,58.18
Tinashe Kamunhukamwe,ZIM,BAT,42.5,60.12,2.54,PLAYING,44.71
Blessing Muzarabani,ZIM,BOWL,43.5,62.1,1.91,PLAYING,52.11
Richard Ngarava,ZIM,BOWL,49.0,72.1,2.15,PLAYING,57.68
Luke Jongwe,ZIM,BOWL,45.0,67.01,2.42,PLAYING,50.94
Tendai Chatara,ZIM,BOWL,50.0,63.41,2.14,PLAYING,50.83
Wessly Madhevere,ZIM,BAT,49.5,72.94,2.07,PLAYING,59.27
Milton Shumba,ZIM,BAT,50.5,79.65,2.68,PLAYING,57.77
