Player,Team,Role,Post_Toss_Projection
Gerhard Erasmus,NAM,AR,142.08
Jan Frylinck,NAM,AR,115.23
JJ Smit,NAM,AR,125.68
Zane Green,NAM,WK,74.29
Michael van Lingen,NAM,BAT,89.23
Malan Kruger,NAM,BAT,112.19
Ruben Trumpelmann,NAM,BOWL,136.29
Bernard Scholtz,NAM,BOWL,98.31
Ben Shikongo,NAM,BOWL,84.27
Jan Nicol Loftie-Eaton,NAM,AR,101.58
Jack Brassell,NAM,BOWL,126.21
Louren Steenkamp,NAM,BAT,84.04
Sikandar Raza,ZIM,AR,160.34
Brian Bennett,ZIM,BAT,95.04
Sean Williams,ZIM,AR,90.4
Ryan Burl,ZIM,AR,89.24
Clive Madande,ZIM,WK,117.14
Tadiwanashe Marumani,ZIM,BAT,107.67
Blessing Muzarabani,ZIM,BOWL,129.35
Richard Ngarava,ZIM,BOWL,115.13
Brad Evans,ZIM,AR,102.3
Wellington Masakadza,ZIM,BOWL,86.44
Ben Curran,ZIM,BAT,90.29
Dion Myers,ZIM,BAT,85.13
